# system names
1.01.01_100	hydrogen ... hydrogen
3.08.02_100	cyclohexane ... iodine
3.08.03_100	cyclohexane ... iodomethane
3.08.04_100	neopentane ... iodomethane
3.08.05_100	neopentane ... triiodomethane
3.08.06_100	neohexane ... diiodomethane
3.08.07_100	toluene ... diiodomethane
3.08.08_100	toluene ... iodomethane
3.08.09_100	toluene ... tetraiodomethane
3.08.10_100	butane ... triiodomethane
3.08.11_100	ethane ... tetraiodomethane
3.08.12_100	hexane ... diiodomethane
3.08.13_100	cyclobutadiene ... diiodomethane
3.08.14_100	nonbornadiene ... diiodomethane
3.08.15_100	cyclopentadiene ... diiodomethane
3.08.16_100	ethyne ... diiodomethane
3.08.17_100	butadyine ... iodomethane
3.08.18_100	propyne ... diiodomethane
3.09.01_100	135triazine ... tetrafluoromethane
3.09.02_100	135triazine ... trifluoromethane
3.09.03_100	135triazine ... tetrafluoroethylene
3.09.04_100	methylamine ... trifluoromethane
3.09.05_100	methylamine ... difluoromethane
3.09.06_100	hydrogenazide ... hexafluorobenzene
3.09.07_100	hydrogenazide ... tetrafluoromethane
3.09.08_100	diazene ... fluorine
3.09.09_100	nitrogen ... fluoromethane
3.09.10_100	diazomethane ... fluorine
3.09.11_100	diazomethane ... tetrafluoroethylene
3.10.01_100	135triazine ... tetrachloroethylene
3.10.02_100	135triazine ... trichloromethane
3.10.03_100	135triazine ... chlorine
3.10.04_100	135triazine ... chloromethane
3.10.05_100	nitrogen ... chlorine
3.10.06_100	nitrogen ... chloromethane
3.10.07_100	diazomethane ... tetrachloroethylene
3.10.08_100	methylamine ... tetrachloromethane
3.10.09_100	methylamine ... chlorine
3.10.10_100	hydrazine ... tetrachloromethane
3.10.11_100	methylamine ... dichloromethane
3.10.12_100	methylazide ... tetrachloromethane
3.10.13_100	hydrogenazide ... trichloromethane
3.10.14_100	hydrogenazide ... tetrachloromethane
3.11.01_100	135triazine ... bromomethane
3.11.02_100	135triazine ... bromine
3.11.03_100	135triazine ... tetrabromomethane
3.11.04_100	hydrazine ... tetrabromomethane
3.11.05_100	methylamine ... bromine
3.11.06_100	methylazide ... bromomethane
3.11.07_100	hydrogenazide ... bromine
3.11.08_100	nitrogen ... bromomethane
3.11.09_100	diazomethane ... tribromomethane
3.11.10_100	nitrogen ... bromine
3.12.01_100	135triazine ... iodine
3.12.02_100	135triazine ... triiodomethane
3.12.03_100	135triazine ... iodomethane
3.12.04_100	135triazine ... diiodomethane
3.12.05_100	hydrogenazide ... diiodomethane
3.12.06_100	methylazide ... tetraiodomethane
3.12.07_100	methylazide ... triiodomethane
3.12.08_100	hydrogenazide ... tetraiodomethane
3.12.09_100	methylamine ... triiodomethane
3.12.10_100	methylamine ... tetraiodomethane
3.12.11_100	hydrazine ... tetraiodomethane
3.12.12_100	hydrazine ... triiodomethane
3.12.13_100	diazomethane ... iodomethane
3.12.14_100	nitrogen ... iodomethane
3.12.15_100	diazomethane ... triiodomethane
3.13.01_100	dimethylether ... hexafluorobenzene
3.13.02_100	diacetonediperoxide ... tetrafluoroethylene
3.13.03_100	formaldehyde ... trifluoromethane
3.13.04_100	formaldehyde ... fluorine
3.13.05_100	carbon_dioxide ... tetrafluoroethylene
3.14.01_100	diacetonediperoxide ... tetrachloroethylene
3.14.02_100	carbon_dioxide ... trichloromethane
3.14.03_100	carbon_dioxide ... tetrachloroethylene
3.14.04_100	formaldehyde ... tetrachloromethane
3.15.01_100	dimethylether ... bromine
3.15.02_100	carbon_dioxide ... tetrabromomethane
3.15.03_100	carbon_dioxide ... bromine
3.15.04_100	carbon_dioxide ... dibromomethane
3.15.05_100	formaldehyde ... tribromomethane
3.16.01_100	acetone ... tetraiodomethane
3.16.02_100	formaldehyde ... iodine
3.16.03_100	carbon_dioxide ... iodine
3.16.04_100	formaldehyde ... tetraiodomethane
3.16.05_100	trioxane ... iodine
3.16.06_100	hydogenperoxide ... iodine
3.16.07_100	dimethylperoxide ... diiodomethane
3.16.08_100	hydogenperoxide ... triiodomethane
3.17.01_100	nidopentaborane ... fluorine
3.17.02_100	arachnopentaborane ... hexafluorobenzene
3.17.03_100	nidopentaborane ... tetrafluoromethane
3.17.04_100	arachnopentaborane ... difluoromethane
3.17.05_100	borazine ... tetrafluoroethylene
3.17.06_100	borazine ... difluoromethane
3.17.07_100	borazine ... trifluoromethane
3.17.08_100	borazine ... hexafluorobenzene
3.18.01_100	arachnopentaborane ... chloromethane
3.18.02_100	arachnopentaborane ... chlorine
3.18.03_100	nidopentaborane ... chlorine
3.18.04_100	diborane ... chlorine
3.18.05_100	borazine ... tetrachloroethylene
3.18.06_100	borazine ... dichloromethane
3.18.07_100	borazine ... trichloromethane
3.18.08_100	borazine ... tetrachloromethane
3.19.01_100	arachnopentaborane ... bromomethane
3.19.02_100	diborane ... bromomethane
3.19.03_100	nidopentaborane ... bromine
3.19.04_100	arachnopentaborane ... tetrabromomethane
3.19.05_100	borazine ... bromomethane
3.19.06_100	borazine ... dibromomethane
3.19.07_100	borazine ... tribromomethane
3.20.01_100	borazine ... tetraiodomethane
3.20.02_100	borazine ... diiodomethane
3.20.03_100	borazine ... iodine
3.20.04_100	borazine ... triiodomethane
3.20.05_100	diborane ... iodine
3.20.06_100	arachnopentaborane ... iodine
3.20.07_100	diborane ... iodomethane
3.20.08_100	nidopentaborane ... iodomethane
3.21.01_100	phosphorine ... tetrafluoromethane
3.21.02_100	phosphorine ... tetrafluoroethylene
3.21.03_100	phosphine ... hexafluorobenzene
3.21.04_100	phosphorus4 ... hexafluorobenzene
3.21.05_100	phosphorus4 ... tetrafluoromethane
3.21.06_100	phosphorus4 ... trifluoromethane
3.21.07_100	diphosphene ... hexafluorobenzene
3.21.08_100	diphosphene ... tetrafluoroethylene
3.21.09_100	diphosphene ... tetrafluoromethane
3.21.10_100	diphosphene ... trifluoromethane
3.22.01_100	phosphorine ... chlorine
3.22.02_100	phosphorine ... trichloromethane
3.22.03_100	phosphorine ... dichloromethane
3.22.04_100	phosphorine ... chloromethane
3.22.05_100	phosphorus4 ... dichloromethane
3.22.06_100	phosphine ... tetrachloroethylene
3.22.07_100	phosphorus4 ... chlorine
3.22.08_100	diphosphine ... tetrachloroethylene
3.22.09_100	diphosphene ... trichloromethane
3.22.10_100	diphosphene ... tetrachloromethane
3.22.11_100	diphosphene ... chlorine
3.22.12_100	diphosphene ... dichloromethane
3.23.01_100	phosphorine ... bromomethane
3.23.02_100	phosphorine ... tetrabromomethane
3.23.03_100	phosphorine ... tribromomethane
3.23.04_100	phosphorine ... bromine
3.23.05_100	phosphine ... tribromomethane
3.23.06_100	phosphorus4 ... bromine
3.23.07_100	diphosphine ... bromine
3.23.08_100	phosphorus4 ... bromomethane
3.23.09_100	diphosphene ... bromine
3.23.10_100	diphosphene ... tribromomethane
3.23.11_100	diphosphene ... tetrabromomethane
3.23.12_100	diphosphene ... dibromomethane
3.24.01_100	phosphorine ... iodine
3.24.02_100	phosphorine ... diiodomethane
3.24.03_100	phosphorine ... iodomethane
3.24.04_100	phosphorine ... tetraiodomethane
3.24.05_100	diphosphine ... diiodomethane
3.24.06_100	phosphine ... iodine
3.24.07_100	phosphine ... diiodomethane
3.24.08_100	phosphine ... tetraiodomethane
3.24.09_100	diphosphene ... tetraiodomethane
3.24.10_100	diphosphene ... iodine
3.24.11_100	diphosphene ... diiodomethane
3.24.12_100	diphosphene ... triiodomethane
3.25.01_100	thiophene ... difluoromethane
3.25.02_100	thiophene ... tetrafluoroethylene
3.25.03_100	thiophene ... hexafluorobenzene
3.25.04_100	thiophene ... fluoromethane
3.25.05_100	dimethylsulfide ... hexafluorobenzene
3.25.06_100	sulfur ... tetrafluoromethane
3.25.07_100	dithiethane ... tetrafluoroethylene
3.25.08_100	trithiane ... hexafluorobenzene
3.25.09_100	carbondisulfide ... fluoromethane
3.25.10_100	thioacetone ... tetrafluoromethane
3.26.01_100	thiophene ... trichloromethane
3.26.02_100	thiophene ... tetrachloromethane
3.26.03_100	thiophene ... chloromethane
3.26.04_100	thiophene ... chlorine
3.26.05_100	dithiethane ... tetrachloroethylene
3.26.06_100	sulfur ... tetrachloromethane
3.26.07_100	sulfur ... chloromethane
3.26.08_100	dimethyldisulfide ... chloromethane
3.26.09_100	carbondisulfide ... trichloromethane
3.26.10_100	carbondisulfide ... tetrachloromethane
3.26.11_100	trithiane ... tetrachloroethylene
3.26.12_100	trithiane ... chlorine
3.27.01_100	thiophene ... bromomethane
3.27.02_100	thiophene ... tetrabromomethane
3.27.03_100	thiophene ... bromine
3.27.04_100	thiophene ... tribromomethane
3.27.05_100	sulfur ... tribromomethane
3.27.06_100	dimethyldisulfide ... bromine
3.27.07_100	sulfur ... dibromomethane
3.27.08_100	sulfur ... bromine
3.27.09_100	carbondisulfide ... tribromomethane
3.27.10_100	carbondisulfide ... bromine
3.28.01_100	thiophene ... iodomethane
3.28.02_100	thiophene ... diiodomethane
3.28.03_100	thiophene ... triiodomethane
3.28.04_100	thiophene ... tetraiodomethane
3.28.05_100	carbondisulfide ... iodomethane
3.28.06_100	thioacetone ... iodomethane
3.28.07_100	thioacetone ... tetraiodomethane
3.28.08_100	carbondisulfide ... iodine
3.28.09_100	dimethylsulfide ... iodine
3.28.10_100	dithiethane ... triiodomethane
3.28.11_100	sulfur ... diiodomethane
3.28.12_100	dithiethane ... tetraiodomethane
3.29.01_100	tetrafluoromethane ... difluoromethane
3.29.02_100	fluoromethane ... trifluoromethane
3.29.03_100	fluorine ... trifluoromethane
3.30.01_100	tetrafluoromethane ... tetrachloromethane
3.30.02_100	fluorine ... tetrachloroethylene
3.30.03_100	trifluoromethane ... trichloromethane
3.31.01_100	hexafluorobenzene ... bromine
3.31.02_100	tetrafluoroethylene ... tetrabromomethane
3.31.03_100	tetrafluoroethylene ... bromomethane
3.32.01_100	trifluoromethane ... iodine
3.32.02_100	hexafluorobenzene ... iodomethane
3.32.03_100	tetrafluoromethane ... tetraiodomethane
3.33.01_100	tetrachloroethylene ... trichloromethane
3.33.02_100	chlorine ... chloromethane
3.33.03_100	dichloromethane ... tetrachloromethane
3.33.04_100	tetrachloroethylene ... chlorine
3.34.01_100	tetrachloromethane ... tetrabromomethane
3.34.02_100	chloromethane ... tetrabromomethane
3.34.03_100	dichloromethane ... bromine
3.34.04_100	tetrachloroethylene ... tribromomethane
3.35.01_100	tetrachloroethylene ... triiodomethane
3.35.02_100	trichloromethane ... tetraiodomethane
3.35.03_100	tetrachloromethane ... tetraiodomethane
3.35.04_100	dichloromethane ... iodomethane
3.36.01_100	tribromomethane ... bromine
3.36.02_100	tetrabromomethane ... bromomethane
3.36.03_100	tetrabromomethane ... tribromomethane
3.37.01_100	tetrabromomethane ... triiodomethane
3.37.02_100	bromomethane ... diiodomethane
3.37.03_100	dibromomethane ... iodine
3.37.04_100	bromomethane ... triiodomethane
3.38.01_100	diiodomethane ... diiodomethane
3.38.02_100	tetraiodomethane ... iodomethane
3.38.03_100	triiodomethane ... tetraiodomethane
3.38.04_100	iodine ... diiodomethane
4.01.01_100	hydrogen ... helium
4.02.01_100	hydrogen ... neon
4.03.01_100	hydrogen ... argon
4.04.01_100	hydrogen ... krypton
4.05.01_100	hydrogen ... xenon
4.06.01_100	butane ... helium
4.06.02_100	pentane ... helium
4.06.03_100	cyclopentadiene ... helium
4.06.04_100	butadinene ... helium
4.06.05_100	toluene ... helium
4.06.06_100	benzene ... helium
4.06.07_100	cyclopentane ... helium
4.06.08_100	cyclohexane ... helium
4.06.09_100	neohexane ... helium
4.06.10_100	neopentane ... helium
4.06.11_100	butadyine ... helium
4.06.12_100	ethyne ... helium
4.07.01_100	butane ... neon
4.07.02_100	pentane ... neon
4.07.03_100	butadinene ... neon
4.07.04_100	propene ... neon
4.07.05_100	toluene ... neon
4.07.06_100	naphthalene ... neon
4.07.07_100	cyclohexane ... neon
4.07.08_100	cyclopentane ... neon
4.07.09_100	neohexane ... neon
4.07.10_100	neopentane ... neon
4.07.11_100	butadyine ... neon
4.07.12_100	propyne ... neon
4.08.01_100	butadinene ... argon
4.08.02_100	propene ... argon
4.08.03_100	benzene ... argon
4.08.04_100	naphthalene ... argon
4.08.05_100	butane ... argon
4.08.06_100	isopentane ... argon
4.08.07_100	cyclopentane ... argon
4.08.08_100	cyclohexane ... argon
4.08.09_100	neopentane ... argon
4.08.10_100	neohexane ... argon
4.08.11_100	ethyne ... argon
4.08.12_100	propyne ... argon
4.09.01_100	23dimethylbutane ... krypton
4.09.02_100	propane ... krypton
4.09.03_100	cyclobutadiene ... krypton
4.09.04_100	nonbornadiene ... krypton
4.09.05_100	toluene ... krypton
4.09.06_100	naphthalene ... krypton
4.09.07_100	cyclohexane ... krypton
4.09.08_100	cyclopentane ... krypton
4.09.09_100	neopentane ... krypton
4.09.10_100	neohexane ... krypton
4.09.11_100	propyne ... krypton
4.09.12_100	butadyine ... krypton
4.10.01_100	isopentane ... xenon
4.10.02_100	propane ... xenon
4.10.03_100	benzene ... xenon
4.10.04_100	naphthalene ... xenon
4.10.05_100	cyclohexane ... xenon
4.10.06_100	cyclopentane ... xenon
4.10.07_100	neopentane ... xenon
4.10.08_100	cyclopentadiene ... xenon
4.10.09_100	ethene ... xenon
4.10.10_100	butadyine ... xenon
4.10.11_100	ethyne ... xenon
4.11.01_100	135triazine ... helium
4.11.02_100	hydrazine ... helium
4.11.03_100	methylamine ... helium
4.11.04_100	ammonia ... helium
4.11.05_100	hydrogenazide ... helium
4.11.06_100	diazene ... helium
4.11.07_100	124triazole ... helium
4.11.08_100	diazomethane ... helium
4.12.01_100	135triazine ... neon
4.12.02_100	hydrazine ... neon
4.12.03_100	methylamine ... neon
4.12.04_100	ammonia ... neon
4.12.05_100	124triazole ... neon
4.12.06_100	diazene ... neon
4.12.07_100	hydrogenazide ... neon
4.12.08_100	nitrogen ... neon
4.12.09_100	diazomethane ... neon
4.13.01_100	135triazine ... argon
4.13.02_100	hydrazine ... argon
4.13.03_100	ammonia ... argon
4.13.04_100	methylamine ... argon
4.13.05_100	methylazide ... argon
4.13.06_100	hydrogenazide ... argon
4.13.07_100	diazene ... argon
4.13.08_100	diazomethane ... argon
4.13.09_100	nitrogen ... argon
4.14.01_100	135triazine ... krypton
4.14.02_100	ammonia ... krypton
4.14.03_100	hydrazine ... krypton
4.14.04_100	methylamine ... krypton
4.14.05_100	hydrogenazide ... krypton
4.14.06_100	methylazide ... krypton
4.14.07_100	diazene ... krypton
4.14.08_100	nitrogen ... krypton
4.14.09_100	diazomethane ... krypton
4.15.01_100	135triazine ... xenon
4.15.02_100	ammonia ... xenon
4.15.03_100	methylamine ... xenon
4.15.04_100	diazene ... xenon
4.15.05_100	hydrogenazide ... xenon
4.15.06_100	methylazide ... xenon
4.15.07_100	nitrogen ... xenon
4.15.08_100	diazomethane ... xenon
4.16.01_100	dimethylperoxide ... helium
4.16.02_100	diacetonediperoxide ... helium
4.16.03_100	trioxane ... helium
4.16.04_100	acetone ... helium
4.16.05_100	carbon_dioxide ... helium
4.17.01_100	diacetonediperoxide ... neon
4.17.02_100	hydogenperoxide ... neon
4.17.03_100	trioxane ... neon
4.17.04_100	acetone ... neon
4.17.05_100	carbon_dioxide ... neon
4.17.06_100	formaldehyde ... neon
4.18.01_100	dimethylperoxide ... argon
4.18.02_100	diacetonediperoxide ... argon
4.18.03_100	trioxane ... argon
4.18.04_100	formaldehyde ... argon
4.18.05_100	acetone ... argon
4.18.06_100	carbon_dioxide ... argon
4.19.01_100	dimethylperoxide ... krypton
4.19.02_100	hydogenperoxide ... krypton
4.19.03_100	dimethylether ... krypton
4.19.04_100	formaldehyde ... krypton
4.19.05_100	acetone ... krypton
4.19.06_100	carbon_dioxide ... krypton
4.20.01_100	trioxane ... xenon
4.20.02_100	dimethylether ... xenon
4.20.03_100	hydogenperoxide ... xenon
4.20.04_100	acetone ... xenon
4.20.05_100	formaldehyde ... xenon
4.20.06_100	carbon_dioxide ... xenon
4.21.01_100	borazine ... helium
4.21.02_100	arachnopentaborane ... helium
4.21.03_100	diborane ... helium
4.21.04_100	nidopentaborane ... helium
4.22.01_100	borazine ... neon
4.22.02_100	diborane ... neon
4.22.03_100	nidopentaborane ... neon
4.22.04_100	arachnopentaborane ... neon
4.23.01_100	borazine ... argon
4.23.02_100	diborane ... argon
4.23.03_100	arachnopentaborane ... argon
4.23.04_100	nidopentaborane ... argon
4.24.01_100	borazine ... krypton
4.24.02_100	diborane ... krypton
4.24.03_100	arachnopentaborane ... krypton
4.24.04_100	nidopentaborane ... krypton
4.25.01_100	borazine ... xenon
4.25.02_100	nidopentaborane ... xenon
4.25.03_100	arachnopentaborane ... xenon
4.26.01_100	phosphorine ... helium
4.26.02_100	phosphorus4 ... helium
4.26.03_100	diphosphine ... helium
4.26.04_100	diphosphene ... helium
4.27.01_100	phosphorine ... neon
4.27.02_100	phosphine ... neon
4.27.03_100	diphosphine ... neon
4.27.04_100	phosphorus4 ... neon
4.27.05_100	diphosphene ... neon
4.28.01_100	phosphorine ... argon
4.28.02_100	phosphorus4 ... argon
4.28.03_100	phosphine ... argon
4.28.04_100	diphosphine ... argon
4.28.05_100	diphosphene ... argon
4.29.01_100	phosphorine ... krypton
4.29.02_100	phosphine ... krypton
4.29.03_100	diphosphine ... krypton
4.29.04_100	phosphorus4 ... krypton
4.29.05_100	diphosphene ... krypton
4.30.01_100	phosphorine ... xenon
4.30.02_100	phosphine ... xenon
4.30.03_100	phosphorus4 ... xenon
4.30.04_100	diphosphine ... xenon
4.30.05_100	diphosphene ... xenon
4.31.01_100	thiophene ... helium
4.31.02_100	dimethyldisulfide ... helium
4.31.03_100	dimethylsulfide ... helium
4.31.04_100	sulfur ... helium
4.31.05_100	carbondisulfide ... helium
4.31.06_100	trithiane ... helium
4.31.07_100	thioacetone ... helium
4.32.01_100	thiophene ... neon
4.32.02_100	dithiethane ... neon
4.32.03_100	dimethyldisulfide ... neon
4.32.04_100	dimethylsulfide ... neon
4.32.05_100	carbondisulfide ... neon
4.32.06_100	thioacetone ... neon
4.32.07_100	trithiane ... neon
4.33.01_100	thiophene ... argon
4.33.02_100	dimethyldisulfide ... argon
4.33.03_100	dithiethane ... argon
4.33.04_100	dimethylsulfide ... argon
4.33.05_100	carbondisulfide ... argon
4.33.06_100	thioacetone ... argon
4.33.07_100	trithiane ... argon
4.34.01_100	thiophene ... krypton
4.34.02_100	dimethyldisulfide ... krypton
4.34.03_100	sulfur ... krypton
4.34.04_100	dithiethane ... krypton
4.34.05_100	carbondisulfide ... krypton
4.34.06_100	trithiane ... krypton
4.34.07_100	thioacetone ... krypton
4.35.01_100	thiophene ... xenon
4.35.02_100	sulfur ... xenon
4.35.03_100	dimethyldisulfide ... xenon
4.35.04_100	dimethylsulfide ... xenon
4.35.05_100	trithiane ... xenon
4.35.06_100	carbondisulfide ... xenon
4.35.07_100	thioacetone ... xenon
4.36.01_100	tetrafluoromethane ... helium
4.36.02_100	hexafluorobenzene ... helium
4.36.03_100	difluoromethane ... helium
4.37.01_100	fluoromethane ... neon
4.37.02_100	tetrafluoroethylene ... neon
4.37.03_100	trifluoromethane ... neon
4.38.01_100	tetrafluoromethane ... argon
4.38.02_100	tetrafluoroethylene ... argon
4.38.03_100	fluoromethane ... argon
4.39.01_100	fluorine ... krypton
4.39.02_100	hexafluorobenzene ... krypton
4.39.03_100	tetrafluoromethane ... krypton
4.40.01_100	hexafluorobenzene ... xenon
4.40.02_100	fluorine ... xenon
4.40.03_100	tetrafluoromethane ... xenon
4.41.01_100	dichloromethane ... helium
4.41.02_100	chloromethane ... helium
4.41.03_100	tetrachloroethylene ... helium
4.42.01_100	tetrachloromethane ... neon
4.42.02_100	tetrachloroethylene ... neon
4.42.03_100	dichloromethane ... neon
4.43.01_100	tetrachloromethane ... argon
4.43.02_100	chlorine ... argon
4.43.03_100	dichloromethane ... argon
4.44.01_100	trichloromethane ... krypton
4.44.02_100	dichloromethane ... krypton
4.44.03_100	tetrachloromethane ... krypton
4.45.01_100	dichloromethane ... xenon
4.45.02_100	chloromethane ... xenon
4.45.03_100	chlorine ... xenon
4.46.01_100	bromine ... helium
4.46.02_100	dibromomethane ... helium
4.46.03_100	tribromomethane ... helium
4.47.01_100	bromomethane ... neon
4.47.02_100	tribromomethane ... neon
4.47.03_100	dibromomethane ... neon
4.48.01_100	tetrabromomethane ... argon
4.48.02_100	dibromomethane ... argon
4.48.03_100	bromomethane ... argon
4.49.01_100	tetrabromomethane ... krypton
4.49.02_100	bromomethane ... krypton
4.49.03_100	tribromomethane ... krypton
4.50.01_100	bromine ... xenon
4.50.02_100	tetrabromomethane ... xenon
4.50.03_100	dibromomethane ... xenon
4.51.01_100	triiodomethane ... helium
4.51.02_100	diiodomethane ... helium
4.51.03_100	tetraiodomethane ... helium
4.52.01_100	triiodomethane ... neon
4.52.02_100	iodomethane ... neon
4.52.03_100	diiodomethane ... neon
4.53.01_100	diiodomethane ... argon
4.53.02_100	tetraiodomethane ... argon
4.53.03_100	iodine ... argon
4.54.01_100	triiodomethane ... krypton
4.54.02_100	tetraiodomethane ... krypton
4.54.03_100	diiodomethane ... krypton
4.55.01_100	triiodomethane ... xenon
4.55.02_100	tetraiodomethane ... xenon
4.55.03_100	diiodomethane ... xenon
4.56.01_100	helium ... helium
4.57.01_100	helium ... neon
4.58.01_100	helium ... argon
4.59.01_100	helium ... krypton
4.60.01_100	helium ... xenon
4.61.01_100	neon ... neon
4.62.01_100	neon ... argon
4.63.01_100	neon ... krypton
4.64.01_100	neon ... xenon
4.65.01_100	argon ... argon
4.66.01_100	argon ... krypton
4.67.01_100	argon ... xenon
4.68.01_100	krypton ... krypton
4.69.01_100	krypton ... xenon
4.70.01_100	xenon ... xenon
