# SQM interaction energies (kcal/mol)
"name"	AM1	RM1	PM3	PM6	PM6-D3H4'	PM6-D3H4	PM6-D3H4X	PM7	DFTB3	DFTB3-D3H4	DFTB3-D3H4X	GFN2-xTB
009.11_1.10_nitromethane--furan	1.759	0.298	4.084	0.826	-0.733	-0.696	-0.696	-1.155	-0.100	-2.365	-2.365	-2.665
009.11_1.15_nitromethane--furan	0.417	-0.253	2.491	0.310	-1.167	-1.134	-1.134	-1.327	-0.439	-2.562	-2.562	-2.833
009.11_1.25_nitromethane--furan	-0.555	-0.556	0.690	-0.413	-1.697	-1.672	-1.672	-1.502	-0.577	-2.287	-2.287	-2.651
009.12_1.00_nitromethane--methanol	4.441	1.186	5.568	0.528	-0.586	-0.564	-0.564	-0.344	0.850	-0.865	-0.865	-1.717
009.12_1.05_nitromethane--methanol	2.028	0.086	3.464	0.047	-1.050	-1.037	-1.037	-0.814	-0.244	-1.946	-1.946	-2.511
009.12_1.10_nitromethane--methanol	0.410	-0.538	1.869	-0.342	-1.392	-1.385	-1.385	-1.002	-0.736	-2.362	-2.362	-2.805
009.12_1.15_nitromethane--methanol	-0.473	-0.796	0.778	-0.675	-1.671	-1.667	-1.667	-1.088	-0.906	-2.383	-2.383	-2.825
009.12_1.25_nitromethane--methanol	-0.901	-0.791	-0.357	-1.117	-2.005	-2.003	-2.003	-1.209	-0.859	-2.043	-2.043	-2.525
009.13_1.00_pyridine--acetone	2.353	2.752	2.393	2.967	2.526	2.529	2.529	2.670	1.247	0.688	0.688	2.096
009.13_1.05_pyridine--acetone	2.120	2.433	2.045	2.631	2.252	2.255	2.255	2.423	1.113	0.625	0.625	1.893
009.13_1.10_pyridine--acetone	1.908	2.157	1.779	2.360	2.044	2.047	2.047	2.216	1.001	0.594	0.594	1.719
009.13_1.15_pyridine--acetone	1.713	1.920	1.570	2.135	1.873	1.875	1.875	2.038	0.903	0.570	0.570	1.569
009.13_1.25_pyridine--acetone	1.384	1.545	1.258	1.769	1.588	1.589	1.589	1.744	0.742	0.515	0.515	1.321
009.14_1.00_pyridine--furan	2.072	2.266	2.106	1.788	0.871	0.894	0.894	-0.059	0.694	-0.562	-0.562	0.368
009.14_1.05_pyridine--furan	1.612	1.894	1.547	1.440	0.638	0.658	0.658	-0.200	0.500	-0.546	-0.546	0.245
009.14_1.10_pyridine--furan	1.368	1.626	1.169	1.179	0.474	0.491	0.491	-0.289	0.396	-0.496	-0.496	0.186
009.14_1.15_pyridine--furan	1.202	1.405	0.908	0.989	0.377	0.391	0.391	-0.335	0.332	-0.443	-0.443	0.159
009.14_1.25_pyridine--furan	0.941	1.055	0.594	0.746	0.304	0.314	0.314	-0.336	0.252	-0.307	-0.307	0.139
009.15_1.00_pyridine--methanol	2.400	2.752	2.380	2.828	2.306	2.309	2.309	2.392	1.162	0.489	0.489	1.855
009.15_1.05_pyridine--methanol	2.121	2.406	1.964	2.455	1.997	2.000	2.000	2.137	1.015	0.429	0.429	1.648
009.15_1.10_pyridine--methanol	1.890	2.108	1.657	2.164	1.775	1.778	1.778	1.938	0.901	0.397	0.397	1.481
009.15_1.15_pyridine--methanol	1.683	1.851	1.425	1.931	1.607	1.609	1.609	1.782	0.805	0.387	0.387	1.340
009.15_1.25_pyridine--methanol	1.333	1.451	1.098	1.571	1.348	1.350	1.350	1.550	0.651	0.369	0.369	1.116
009.16_1.00_water--ammonia	2.245	2.390	1.649	2.481	2.301	2.301	2.301	2.906	1.284	1.046	1.046	2.035
009.16_1.05_water--ammonia	1.982	2.079	1.411	2.188	2.045	2.045	2.045	2.573	1.130	0.942	0.942	1.809
009.16_1.10_water--ammonia	1.747	1.817	1.224	1.946	1.833	1.833	1.833	2.304	0.998	0.852	0.852	1.617
009.16_1.15_water--ammonia	1.543	1.598	1.075	1.740	1.651	1.651	1.651	2.083	0.885	0.771	0.771	1.452
009.16_1.25_water--ammonia	1.215	1.256	0.848	1.405	1.349	1.349	1.349	1.733	0.701	0.630	0.630	1.184
009.17_1.00_water--hydrogen_cyanide	2.006	2.394	2.400	2.412	2.214	2.213	2.213	2.640	1.307	1.057	1.057	2.119
009.17_1.05_water--hydrogen_cyanide	1.821	2.119	2.045	2.108	1.927	1.927	1.927	2.350	1.170	0.932	0.932	1.895
009.17_1.10_water--hydrogen_cyanide	1.651	1.876	1.775	1.874	1.722	1.722	1.722	2.109	1.056	0.852	0.852	1.707
009.17_1.15_water--hydrogen_cyanide	1.491	1.666	1.561	1.685	1.562	1.562	1.562	1.911	0.958	0.794	0.794	1.546
009.17_1.25_water--hydrogen_cyanide	1.208	1.333	1.245	1.390	1.311	1.311	1.311	1.615	0.794	0.691	0.691	1.285
009.18_1.00_water--methylamine	2.413	2.568	1.865	2.755	2.460	2.460	2.460	3.033	1.280	0.895	0.895	1.967
009.18_1.05_water--methylamine	2.130	2.229	1.574	2.414	2.172	2.172	2.172	2.656	1.122	0.804	0.804	1.745
009.18_1.10_water--methylamine	1.877	1.942	1.352	2.138	1.944	1.944	1.944	2.356	0.989	0.736	0.736	1.559
009.18_1.15_water--methylamine	1.654	1.700	1.177	1.907	1.751	1.751	1.751	2.116	0.876	0.675	0.675	1.400
009.18_1.25_water--methylamine	1.295	1.327	0.919	1.536	1.434	1.434	1.434	1.755	0.692	0.563	0.563	1.145
009.19_1.00_water--nitromethane	2.495	-0.068	3.079	0.116	-0.619	-0.605	-0.605	-0.474	-0.146	-1.366	-1.366	-1.975
009.19_1.05_water--nitromethane	0.593	-0.766	1.510	-0.250	-0.977	-0.969	-0.969	-0.694	-0.933	-2.144	-2.144	-2.516
009.19_1.10_water--nitromethane	-0.533	-1.065	0.397	-0.575	-1.282	-1.278	-1.278	-0.756	-1.228	-2.364	-2.364	-2.668
009.19_1.15_water--nitromethane	-1.031	-1.100	-0.315	-0.856	-1.544	-1.542	-1.542	-0.782	-1.274	-2.287	-2.287	-2.618
009.19_1.25_water--nitromethane	-1.058	-0.893	-0.966	-1.181	-1.821	-1.820	-1.820	-0.862	-1.096	-1.939	-1.939	-2.284
009.20_1.00_water--pyridine	2.378	2.702	2.275	2.636	2.286	2.288	2.288	2.669	1.168	0.722	0.722	2.117
009.20_1.05_water--pyridine	2.116	2.364	1.913	2.298	1.996	1.997	1.997	2.368	1.028	0.636	0.636	1.887
009.20_1.10_water--pyridine	1.885	2.072	1.639	2.033	1.782	1.783	1.783	2.134	0.915	0.587	0.587	1.696
009.20_1.15_water--pyridine	1.676	1.823	1.426	1.817	1.612	1.613	1.613	1.949	0.819	0.553	0.553	1.532
009.20_1.25_water--pyridine	1.326	1.434	1.115	1.479	1.342	1.342	1.342	1.681	0.661	0.488	0.488	1.267
010.01_1.00_acetone--acetone	2.312	2.372	2.346	3.044	2.791	2.792	2.792	2.611	2.499	2.186	2.186	3.119
010.01_1.05_acetone--acetone	2.092	2.149	2.074	2.698	2.474	2.474	2.474	2.370	2.264	1.976	1.976	2.833
010.01_1.10_acetone--acetone	1.898	1.954	1.857	2.429	2.238	2.239	2.239	2.160	2.056	1.810	1.810	2.584
010.01_1.15_acetone--acetone	1.727	1.780	1.678	2.213	2.054	2.055	2.055	1.986	1.872	1.669	1.669	2.363
010.01_1.25_acetone--acetone	1.442	1.490	1.395	1.874	1.764	1.764	1.764	1.722	1.561	1.423	1.423	1.994
010.02_1.00_furan--acetone	1.782	1.763	2.261	1.995	1.434	1.446	1.446	0.292	1.118	0.291	0.291	1.465
010.02_1.05_furan--acetone	1.541	1.528	1.665	1.761	1.270	1.280	1.280	0.232	0.831	0.124	0.124	1.171
010.02_1.10_furan--acetone	1.339	1.337	1.254	1.475	1.036	1.045	1.045	0.195	0.673	0.080	0.080	0.990
010.02_1.15_furan--acetone	1.172	1.180	0.974	1.199	0.799	0.806	0.806	0.158	0.575	0.066	0.066	0.867
010.02_1.25_furan--acetone	0.915	0.937	0.644	0.798	0.472	0.478	0.478	0.097	0.449	0.039	0.039	0.703
010.03_1.00_furan--furan	1.668	1.468	2.254	1.623	0.650	0.686	0.686	-0.397	0.895	-0.446	-0.446	0.177
010.03_1.05_furan--furan	1.371	1.207	1.568	1.440	0.601	0.632	0.632	-0.500	0.543	-0.616	-0.616	-0.083
010.03_1.10_furan--furan	1.129	1.003	1.093	1.190	0.463	0.489	0.489	-0.551	0.370	-0.602	-0.602	-0.190
010.03_1.15_furan--furan	0.936	0.844	0.775	0.929	0.290	0.312	0.312	-0.588	0.281	-0.539	-0.539	-0.223
010.03_1.25_furan--furan	0.662	0.619	0.421	0.531	0.030	0.047	0.047	-0.626	0.195	-0.427	-0.427	-0.205
010.04_1.00_methanol--acetone	2.336	2.315	2.256	3.006	2.707	2.707	2.707	2.514	2.337	1.948	1.948	2.819
010.04_1.05_methanol--acetone	2.086	2.073	1.931	2.601	2.326	2.326	2.326	2.245	2.094	1.750	1.750	2.534
010.04_1.10_methanol--acetone	1.870	1.865	1.686	2.280	2.038	2.038	2.038	2.006	1.888	1.577	1.577	2.292
010.04_1.15_methanol--acetone	1.683	1.684	1.494	2.032	1.826	1.827	1.827	1.802	1.707	1.440	1.440	2.083
010.04_1.25_methanol--acetone	1.378	1.386	1.208	1.674	1.531	1.531	1.531	1.498	1.404	1.222	1.222	1.738
010.05_1.00_methanol--furan	1.736	1.649	2.141	1.781	1.136	1.148	1.148	0.168	1.079	0.144	0.144	1.197
010.05_1.05_methanol--furan	1.490	1.412	1.550	1.577	1.020	1.030	1.030	0.098	0.770	-0.024	-0.024	0.905
010.05_1.10_methanol--furan	1.279	1.218	1.141	1.311	0.823	0.832	0.832	0.053	0.604	-0.057	-0.057	0.735
010.05_1.15_methanol--furan	1.103	1.060	0.863	1.049	0.613	0.620	0.620	0.009	0.506	-0.055	-0.055	0.626
010.05_1.25_methanol--furan	0.835	0.821	0.542	0.666	0.321	0.326	0.326	-0.057	0.385	-0.052	-0.052	0.494
010.06_1.00_methanol--methanol	2.235	2.135	1.948	2.749	2.424	2.424	2.424	2.298	2.045	1.618	1.618	2.375
010.06_1.05_methanol--methanol	1.965	1.886	1.635	2.340	2.049	2.049	2.049	1.988	1.812	1.443	1.443	2.110
010.06_1.10_methanol--methanol	1.736	1.675	1.403	2.018	1.765	1.765	1.765	1.727	1.617	1.291	1.291	1.889
010.06_1.15_methanol--methanol	1.540	1.494	1.224	1.771	1.559	1.559	1.559	1.517	1.448	1.171	1.171	1.701
010.06_1.25_methanol--methanol	1.229	1.202	0.966	1.422	1.277	1.277	1.277	1.229	1.169	0.983	0.983	1.397
010.07_1.00_water--acetone	2.291	2.273	2.187	2.707	2.508	2.508	2.508	2.708	2.342	2.094	2.094	2.970
010.07_1.05_water--acetone	2.052	2.040	1.904	2.352	2.169	2.170	2.170	2.399	2.104	1.872	1.872	2.675
010.07_1.10_water--acetone	1.845	1.837	1.682	2.078	1.922	1.922	1.922	2.133	1.896	1.692	1.692	2.420
010.07_1.15_water--acetone	1.664	1.660	1.504	1.865	1.737	1.737	1.737	1.914	1.713	1.545	1.545	2.199
010.07_1.25_water--acetone	1.366	1.367	1.228	1.548	1.462	1.462	1.462	1.594	1.407	1.297	1.297	1.832
010.08_1.00_water--furan	1.673	1.628	1.948	1.775	1.343	1.352	1.352	0.581	1.070	0.414	0.414	1.525
010.08_1.05_water--furan	1.462	1.413	1.432	1.552	1.179	1.186	1.186	0.465	0.786	0.238	0.238	1.227
010.08_1.10_water--furan	1.274	1.233	1.076	1.279	0.948	0.954	0.954	0.367	0.631	0.179	0.179	1.037
010.08_1.15_water--furan	1.112	1.082	0.833	1.019	0.718	0.723	0.723	0.272	0.534	0.150	0.150	0.903
010.08_1.25_water--furan	0.858	0.849	0.546	0.653	0.413	0.416	0.416	0.125	0.411	0.105	0.105	0.719
010.09_1.00_water--methanol	2.192	2.105	1.912	2.508	2.279	2.279	2.279	2.570	2.076	1.783	1.783	2.502
010.09_1.05_water--methanol	1.934	1.863	1.628	2.137	1.931	1.931	1.931	2.230	1.843	1.581	1.581	2.230
010.09_1.10_water--methanol	1.714	1.657	1.413	1.852	1.676	1.676	1.676	1.944	1.644	1.415	1.415	1.999
010.09_1.15_water--methanol	1.525	1.480	1.243	1.634	1.490	1.490	1.490	1.712	1.471	1.282	1.282	1.801
010.09_1.25_water--methanol	1.222	1.193	0.991	1.322	1.226	1.226	1.226	1.381	1.187	1.064	1.064	1.479
010.10_1.00_water--water	2.170	2.091	1.913	2.286	2.126	2.126	2.126	2.745	2.107	1.906	1.906	2.587
010.10_1.05_water--water	1.921	1.854	1.648	1.954	1.811	1.811	1.811	2.389	1.874	1.688	1.688	2.311
010.10_1.10_water--water	1.706	1.650	1.442	1.703	1.584	1.584	1.584	2.093	1.672	1.515	1.515	2.075
010.10_1.15_water--water	1.521	1.475	1.276	1.511	1.415	1.415	1.415	1.853	1.496	1.370	1.370	1.871
010.10_1.25_water--water	1.223	1.190	1.023	1.229	1.167	1.167	1.167	1.504	1.206	1.126	1.126	1.538
011.02_1.00_dihydrogen--CH3PCH2	1.123	2.652	0.607	4.066	3.912	3.911	3.911	8.860	-0.058	-0.332	-0.332	0.222
011.02_1.05_dihydrogen--CH3PCH2	0.870	1.548	0.585	2.798	2.652	2.651	2.651	6.489	-0.350	-0.585	-0.585	-0.354
011.02_1.10_dihydrogen--CH3PCH2	0.938	0.917	0.635	1.969	1.825	1.824	1.824	4.684	-0.409	-0.623	-0.623	-0.654
011.02_1.15_dihydrogen--CH3PCH2	1.208	0.835	0.672	1.370	1.224	1.224	1.224	3.304	-0.361	-0.583	-0.583	-0.784
011.02_1.25_dihydrogen--CH3PCH2	1.280	1.065	0.625	0.553	0.412	0.411	0.411	1.452	-0.197	-0.466	-0.466	-0.781
011.03_1.00_ethyne_H--CH3PCH2	2.312	5.630	0.290	6.198	5.804	5.805	5.805	11.458	1.723	1.028	1.028	1.273
011.03_1.05_ethyne_H--CH3PCH2	0.728	4.719	-0.117	3.968	3.614	3.615	3.615	8.479	0.545	-0.123	-0.123	-0.027
011.03_1.10_ethyne_H--CH3PCH2	-0.112	3.409	-0.284	2.528	2.206	2.207	2.207	6.233	-0.072	-0.675	-0.675	-0.815
011.03_1.15_ethyne_H--CH3PCH2	-0.343	2.096	-0.264	1.648	1.349	1.350	1.350	4.530	-0.344	-0.872	-0.872	-1.259
011.03_1.25_ethyne_H--CH3PCH2	0.190	0.807	-0.039	0.722	0.442	0.442	0.442	2.215	-0.397	-0.826	-0.826	-1.561
011.04_1.00_hydrogen_fluoride--CH3PCH2	12.178	9.260	4.532	16.138	15.845	15.848	15.848	19.556	-1.376	-1.786	-1.786	0.160
011.04_1.05_hydrogen_fluoride--CH3PCH2	10.996	6.878	3.472	12.948	12.667	12.670	12.670	15.674	-0.564	-0.995	-0.995	-2.217
011.04_1.10_hydrogen_fluoride--CH3PCH2	10.478	6.545	2.937	10.272	10.005	10.008	10.008	12.695	0.261	-0.204	-0.204	-3.698
011.04_1.15_hydrogen_fluoride--CH3PCH2	9.753	7.141	2.488	7.930	7.680	7.682	7.682	10.381	-0.338	-0.823	-0.823	-4.527
011.04_1.25_hydrogen_fluoride--CH3PCH2	6.152	7.640	1.432	4.213	3.991	3.992	3.992	7.046	-1.668	-2.096	-2.096	-5.035
011.05_1.00_methane_H--CH3PCH2	0.748	4.320	1.140	3.083	2.668	2.669	2.669	6.781	0.926	0.245	0.245	0.842
011.05_1.05_methane_H--CH3PCH2	0.476	2.775	0.945	2.056	1.679	1.679	1.679	4.787	0.287	-0.305	-0.305	0.027
011.05_1.10_methane_H--CH3PCH2	0.638	1.745	0.889	1.437	1.090	1.090	1.090	3.323	-0.010	-0.527	-0.527	-0.441
011.05_1.15_methane_H--CH3PCH2	0.992	1.363	0.865	1.010	0.684	0.684	0.684	2.239	-0.120	-0.593	-0.593	-0.689
011.05_1.25_methane_H--CH3PCH2	1.263	1.367	0.756	0.396	0.108	0.108	0.108	0.824	-0.118	-0.581	-0.581	-0.820
011.07_1.00_phosphine--dihydrogen	0.950	2.149	0.342	4.092	3.989	3.989	3.989	8.732	-0.048	-0.243	-0.243	-0.070
011.07_1.05_phosphine--dihydrogen	0.789	1.178	0.400	2.822	2.722	2.722	2.722	6.354	-0.329	-0.496	-0.496	-0.594
011.07_1.10_phosphine--dihydrogen	0.942	0.730	0.496	1.974	1.871	1.870	1.870	4.550	-0.384	-0.542	-0.542	-0.847
011.07_1.15_phosphine--dihydrogen	1.235	0.775	0.561	1.355	1.247	1.246	1.246	3.183	-0.337	-0.514	-0.514	-0.935
011.07_1.25_phosphine--dihydrogen	1.185	1.017	0.544	0.522	0.414	0.413	0.413	1.370	-0.181	-0.402	-0.402	-0.861
011.08_1.00_phosphine--ethyne_H	1.472	5.147	-0.516	5.424	5.150	5.153	5.153	11.140	1.522	0.989	0.989	1.286
011.08_1.05_phosphine--ethyne_H	0.132	4.151	-0.744	3.334	3.089	3.090	3.090	8.211	0.413	-0.095	-0.095	0.022
011.08_1.10_phosphine--ethyne_H	-0.472	2.829	-0.749	2.023	1.799	1.800	1.800	6.011	-0.155	-0.606	-0.606	-0.733
011.08_1.15_phosphine--ethyne_H	-0.526	1.628	-0.607	1.234	1.022	1.023	1.023	4.344	-0.395	-0.786	-0.786	-1.152
011.08_1.25_phosphine--ethyne_H	0.172	0.706	-0.249	0.382	0.173	0.173	0.173	2.084	-0.424	-0.754	-0.754	-1.424
011.09_1.00_phosphine--hydrogen_fluoride	10.935	8.184	3.020	15.371	15.181	15.216	15.216	21.175	-0.355	-0.568	-0.568	1.371
011.09_1.05_phosphine--hydrogen_fluoride	10.019	6.290	2.159	12.051	11.860	11.883	11.883	17.171	0.379	0.098	0.098	-1.099
011.09_1.10_phosphine--hydrogen_fluoride	9.605	6.281	1.750	9.277	9.093	9.108	9.108	14.093	0.743	0.400	0.400	-2.653
011.09_1.15_phosphine--hydrogen_fluoride	8.842	6.996	1.389	6.893	6.720	6.729	6.729	11.701	-0.212	-0.583	-0.583	-3.549
011.09_1.25_phosphine--hydrogen_fluoride	5.091	7.349	0.522	3.222	3.069	3.072	3.072	8.219	-1.637	-1.958	-1.958	-4.170
011.10_1.00_phosphine--methane_H	0.500	3.674	0.798	2.852	2.545	2.546	2.546	6.469	0.820	0.299	0.299	0.678
011.10_1.05_phosphine--methane_H	0.406	2.272	0.713	1.893	1.614	1.614	1.614	4.546	0.235	-0.213	-0.213	-0.089
011.10_1.10_phosphine--methane_H	0.676	1.474	0.723	1.300	1.039	1.039	1.039	3.136	-0.028	-0.423	-0.423	-0.517
011.10_1.15_phosphine--methane_H	1.055	1.275	0.736	0.875	0.626	0.626	0.626	2.091	-0.121	-0.494	-0.494	-0.731
011.10_1.25_phosphine--methane_H	1.155	1.312	0.662	0.271	0.048	0.048	0.048	0.729	-0.111	-0.486	-0.486	-0.810
011.12_1.00_trimethylphosphine--dihydrogen	1.214	2.821	0.706	4.284	4.015	4.014	4.014	10.028	-0.312	-0.735	-0.735	0.266
011.12_1.05_trimethylphosphine--dihydrogen	0.915	1.692	0.639	2.933	2.690	2.688	2.688	7.345	-0.563	-0.926	-0.926	-0.396
011.12_1.10_trimethylphosphine--dihydrogen	0.930	0.976	0.665	2.059	1.832	1.831	1.831	5.301	-0.576	-0.897	-0.897	-0.742
011.12_1.15_trimethylphosphine--dihydrogen	1.179	0.824	0.694	1.437	1.222	1.220	1.220	3.739	-0.486	-0.792	-0.792	-0.892
011.12_1.25_trimethylphosphine--dihydrogen	1.331	1.064	0.645	0.591	0.399	0.398	0.398	1.649	-0.257	-0.584	-0.584	-0.894
011.13_1.00_trimethylphosphine--ethyne_H	3.415	5.753	0.296	6.663	6.015	6.017	6.017	13.165	2.389	1.401	1.401	2.004
011.13_1.05_trimethylphosphine--ethyne_H	1.514	5.185	-0.215	4.173	3.591	3.593	3.593	9.706	0.851	-0.094	-0.094	0.171
011.13_1.10_trimethylphosphine--ethyne_H	0.286	4.122	-0.506	2.508	1.986	1.987	1.987	7.105	0.013	-0.857	-0.857	-0.949
011.13_1.15_trimethylphosphine--ethyne_H	-0.271	2.813	-0.572	1.478	1.006	1.007	1.007	5.137	-0.382	-1.155	-1.155	-1.591
011.13_1.25_trimethylphosphine--ethyne_H	-0.074	0.953	-0.353	0.490	0.085	0.085	0.085	2.486	-0.507	-1.109	-1.109	-2.055
011.14_1.00_trimethylphosphine--hydrogen_fluoride	15.711	15.550	7.188	15.921	15.382	15.391	15.391	20.607	0.981	0.257	0.257	3.383
011.14_1.05_trimethylphosphine--hydrogen_fluoride	12.632	9.982	4.584	12.280	11.760	11.767	11.767	15.849	-1.850	-2.543	-2.543	0.216
011.14_1.10_trimethylphosphine--hydrogen_fluoride	11.195	7.104	3.255	9.630	9.131	9.137	9.137	12.301	-1.536	-2.225	-2.225	-2.044
011.14_1.15_trimethylphosphine--hydrogen_fluoride	10.599	6.318	2.579	7.497	7.021	7.026	7.026	9.648	-0.507	-1.213	-1.213	-3.715
011.14_1.25_trimethylphosphine--hydrogen_fluoride	8.996	7.328	1.623	4.032	3.614	3.617	3.617	6.110	-1.439	-2.141	-2.141	-5.781
011.15_1.00_trimethylphosphine--methane_H	0.775	4.289	1.122	2.752	2.169	2.170	2.170	6.823	0.806	-0.084	-0.084	0.662
011.15_1.05_trimethylphosphine--methane_H	0.492	2.753	0.911	1.794	1.273	1.273	1.273	4.737	0.187	-0.584	-0.584	-0.172
011.15_1.10_trimethylphosphine--methane_H	0.647	1.723	0.848	1.229	0.757	0.758	0.758	3.208	-0.087	-0.758	-0.758	-0.640
011.15_1.15_trimethylphosphine--methane_H	0.996	1.340	0.824	0.844	0.411	0.411	0.411	2.083	-0.175	-0.781	-0.781	-0.874
011.15_1.25_trimethylphosphine--methane_H	1.269	1.353	0.722	0.286	-0.081	-0.081	-0.081	0.639	-0.143	-0.698	-0.698	-0.968
012.01_1.00_benzene--CH3PCH2	8.780	11.917	9.519	-0.024	-1.323	-1.311	-1.311	-1.757	1.658	-0.532	-0.532	-1.232
012.01_1.05_benzene--CH3PCH2	4.590	9.493	7.492	-0.713	-1.947	-1.937	-1.937	-3.310	0.770	-1.295	-1.295	-1.686
012.01_1.10_benzene--CH3PCH2	2.152	7.182	5.774	-0.940	-2.117	-2.108	-2.108	-3.935	0.348	-1.537	-1.537	-1.785
012.01_1.15_benzene--CH3PCH2	1.132	5.347	4.396	-0.882	-2.007	-1.999	-1.999	-3.931	0.158	-1.516	-1.516	-1.706
012.01_1.25_benzene--CH3PCH2	0.586	2.950	2.504	-0.454	-1.456	-1.449	-1.449	-2.988	0.043	-1.304	-1.304	-1.353
012.02_1.00_ethene--CH3PCH2	3.772	6.403	4.802	-0.109	-0.681	-0.680	-0.680	-0.458	0.585	-0.488	-0.488	-0.605
012.02_1.05_ethene--CH3PCH2	1.577	4.736	3.637	-0.486	-1.054	-1.053	-1.053	-1.510	0.246	-0.735	-0.735	-0.801
012.02_1.10_ethene--CH3PCH2	0.749	3.423	2.699	-0.559	-1.122	-1.121	-1.121	-1.915	0.103	-0.766	-0.766	-0.825
012.02_1.15_ethene--CH3PCH2	0.475	2.466	1.982	-0.473	-1.024	-1.023	-1.023	-1.904	0.047	-0.728	-0.728	-0.768
012.02_1.25_ethene--CH3PCH2	0.275	1.286	1.057	-0.190	-0.669	-0.668	-0.668	-1.350	0.017	-0.625	-0.625	-0.577
012.03_1.00_ethyne_C--CH3PCH2	3.562	5.740	4.358	-0.114	-0.526	-0.526	-0.526	-0.513	0.654	-0.244	-0.244	-0.170
012.03_1.05_ethyne_C--CH3PCH2	1.500	4.237	3.306	-0.442	-0.849	-0.848	-0.848	-1.345	0.288	-0.517	-0.517	-0.417
012.03_1.10_ethyne_C--CH3PCH2	0.748	3.061	2.459	-0.502	-0.917	-0.917	-0.917	-1.643	0.131	-0.560	-0.560	-0.489
012.03_1.15_ethyne_C--CH3PCH2	0.500	2.208	1.813	-0.423	-0.852	-0.851	-0.851	-1.603	0.066	-0.544	-0.544	-0.477
012.03_1.25_ethyne_C--CH3PCH2	0.310	1.163	0.981	-0.172	-0.575	-0.574	-0.574	-1.109	0.029	-0.512	-0.512	-0.364
012.04_1.00_methane_C--CH3PCH2	8.135	6.016	4.641	2.749	2.409	2.410	2.410	6.174	1.266	0.471	0.471	0.241
012.04_1.05_methane_C--CH3PCH2	5.162	5.409	3.781	1.344	1.031	1.032	1.032	3.371	0.588	-0.198	-0.198	-0.341
012.04_1.10_methane_C--CH3PCH2	2.589	4.319	2.986	0.453	0.139	0.140	0.140	1.437	0.261	-0.419	-0.419	-0.605
012.04_1.15_methane_C--CH3PCH2	1.104	3.263	2.302	-0.046	-0.389	-0.389	-0.389	0.184	0.111	-0.461	-0.461	-0.696
012.04_1.25_methane_C--CH3PCH2	0.241	1.785	1.311	-0.345	-0.755	-0.754	-0.754	-0.911	0.018	-0.499	-0.499	-0.658
012.05_1.00_phosphine--benzene	7.860	11.320	9.108	0.072	-0.802	-0.797	-0.797	-2.423	1.676	0.081	0.081	-1.134
012.05_1.05_phosphine--benzene	3.997	8.925	7.155	-0.603	-1.468	-1.463	-1.463	-3.759	0.811	-0.729	-0.729	-1.540
012.05_1.10_phosphine--benzene	1.919	6.728	5.517	-0.805	-1.661	-1.657	-1.657	-4.226	0.400	-1.019	-1.019	-1.613
012.05_1.15_phosphine--benzene	1.104	5.011	4.211	-0.730	-1.574	-1.569	-1.569	-4.119	0.214	-1.057	-1.057	-1.521
012.05_1.25_phosphine--benzene	0.654	2.776	2.427	-0.302	-1.077	-1.073	-1.073	-3.106	0.095	-0.957	-0.957	-1.169
012.06_1.00_phosphine--ethene	2.809	5.709	4.333	-0.055	-0.461	-0.461	-0.461	-0.836	0.541	-0.274	-0.274	-0.643
012.06_1.05_phosphine--ethene	1.191	4.171	3.260	-0.379	-0.803	-0.803	-0.803	-1.713	0.248	-0.494	-0.494	-0.794
012.06_1.10_phosphine--ethene	0.647	3.003	2.412	-0.419	-0.854	-0.854	-0.854	-1.981	0.125	-0.538	-0.538	-0.782
012.06_1.15_phosphine--ethene	0.457	2.162	1.772	-0.324	-0.758	-0.758	-0.758	-1.883	0.075	-0.525	-0.525	-0.700
012.06_1.25_phosphine--ethene	0.287	1.127	0.953	-0.068	-0.439	-0.440	-0.440	-1.288	0.045	-0.461	-0.461	-0.487
012.07_1.00_phosphine--ethyne_C	3.063	5.373	4.139	-0.018	-0.289	-0.289	-0.289	-0.709	0.672	-0.009	-0.009	-0.270
012.07_1.05_phosphine--ethyne_C	1.305	3.950	3.141	-0.351	-0.638	-0.638	-0.638	-1.493	0.315	-0.295	-0.295	-0.490
012.07_1.10_phosphine--ethyne_C	0.703	2.855	2.343	-0.411	-0.724	-0.724	-0.724	-1.745	0.160	-0.367	-0.367	-0.533
012.07_1.15_phosphine--ethyne_C	0.501	2.064	1.737	-0.336	-0.673	-0.673	-0.673	-1.673	0.096	-0.381	-0.381	-0.495
012.07_1.25_phosphine--ethyne_C	0.327	1.090	0.955	-0.103	-0.424	-0.424	-0.424	-1.161	0.055	-0.384	-0.384	-0.349
012.08_1.00_phosphine--methane_C	7.392	5.802	4.319	2.667	2.453	2.453	2.453	5.417	1.163	0.533	0.533	0.051
012.08_1.05_phosphine--methane_C	4.378	5.055	3.486	1.271	1.063	1.063	1.063	2.778	0.541	-0.068	-0.068	-0.429
012.08_1.10_phosphine--methane_C	2.061	3.962	2.730	0.414	0.187	0.187	0.187	1.000	0.244	-0.272	-0.272	-0.623
012.08_1.15_phosphine--methane_C	0.850	2.968	2.092	-0.050	-0.321	-0.321	-0.321	-0.115	0.108	-0.330	-0.330	-0.667
012.08_1.25_phosphine--methane_C	0.203	1.614	1.182	-0.307	-0.646	-0.646	-0.646	-1.012	0.024	-0.407	-0.407	-0.576
