# Interaction energies and their componets in kcal/mol
# Prefix corr_ denotes the correlation enegy term only
# Suffixes _os and _ss denote the other-spin and same-spin components of the correlation energy
system	HF/aDZ	HF/aTZ	HF/haTZ	HF/aQZ	HF/a5Z	corr_MP2/aDZ	corr_MP2/aTZ	corr_MP2/haTZ	corr_MP2/aQZ	corr_MP2/a5Z	corr_MP2/CBS(aTQZ)	corr_MP2/CBS(aQ5Z)	corr_MP2_os/aDZ	corr_MP2_ss/aDZ	corr_MP2_os/aTZ	corr_MP2_ss/aTZ	corr_MP2_os/haTZ	corr_MP2_ss/haTZ	corr_MP2_os/aQZ	corr_MP2_ss/aQZ	corr_MP2_os/a5Z	corr_MP2_ss/a5Z	corr_MP2_os/CBS(aTQZ)	corr_MP2_ss/CBS(aTQZ)	corr_MP2_os/CBS(aQ5Z)	corr_MP2_ss/CBS(aQ5Z)	corr_CCSD(T)/aDZ	corr_CCSD/aDZ	corr_CCSD(T)/haTZ	corr_CCSD/haTZ
2.01.01_2.00	-0.025	-0.025	~~~	-0.025	~~~	-0.032	-0.034	~~~	-0.034	~~~	-0.034	~~~	-0.014	-0.018	-0.015	-0.018	~~~	~~~	-0.015	-0.018	~~~	~~~	-0.016	-0.019	~~~	~~~	-0.026	-0.022	~~~	~~~
2.01.02_0.80	4.700	4.631	4.636	4.618	4.609	-2.648	-3.330	-3.188	-3.519	-3.582	-3.657	-3.648	-1.281	-1.367	-1.702	-1.628	-1.619	-1.569	-1.837	-1.682	-1.886	-1.696	-1.935	-1.722	-1.938	-1.709	-2.334	-2.050	-2.859	-2.482
2.01.02_0.85	2.969	2.939	~~~	2.928	~~~	-2.163	-2.664	~~~	-2.802	~~~	-2.902	~~~	-1.057	-1.106	-1.362	-1.302	~~~	~~~	-1.459	-1.343	~~~	~~~	-1.529	-1.373	~~~	~~~	-1.906	-1.674	~~~	~~~
2.01.02_0.90	1.860	1.855	~~~	1.846	~~~	-1.765	-2.130	~~~	-2.229	~~~	-2.301	~~~	-0.870	-0.894	-1.089	-1.040	~~~	~~~	-1.157	-1.071	~~~	~~~	-1.207	-1.094	~~~	~~~	-1.555	-1.363	~~~	~~~
2.01.02_0.95	1.158	1.168	~~~	1.160	~~~	-1.439	-1.702	~~~	-1.772	~~~	-1.824	~~~	-0.715	-0.724	-0.870	-0.832	~~~	~~~	-0.918	-0.854	~~~	~~~	-0.953	-0.871	~~~	~~~	-1.265	-1.108	~~~	~~~
2.01.02_1.00	0.719	0.735	0.734	0.729	0.728	-1.171	-1.360	-1.282	-1.410	-1.428	-1.447	-1.446	-0.585	-0.586	-0.696	-0.665	-0.653	-0.629	-0.728	-0.682	-0.741	-0.687	-0.753	-0.694	-0.754	-0.692	-1.027	-0.898	-1.123	-0.969
2.01.02_1.05	0.447	0.464	~~~	0.459	~~~	-0.953	-1.088	~~~	-1.124	~~~	-1.149	~~~	-0.478	-0.475	-0.556	-0.532	~~~	~~~	-0.579	-0.545	~~~	~~~	-0.595	-0.554	~~~	~~~	-0.832	-0.727	~~~	~~~
2.01.02_1.10	0.279	0.294	~~~	0.291	~~~	-0.775	-0.872	~~~	-0.897	~~~	-0.915	~~~	-0.390	-0.385	-0.445	-0.427	~~~	~~~	-0.461	-0.436	~~~	~~~	-0.472	-0.443	~~~	~~~	-0.674	-0.588	~~~	~~~
2.01.02_1.25	0.074	0.082	~~~	0.082	~~~	-0.419	-0.457	~~~	-0.466	~~~	-0.472	~~~	-0.211	-0.208	-0.232	-0.225	~~~	~~~	-0.237	-0.228	~~~	~~~	-0.241	-0.231	~~~	~~~	-0.359	-0.312	~~~	~~~
2.01.02_1.50	0.014	0.017	~~~	0.017	~~~	-0.159	-0.169	~~~	-0.171	~~~	-0.172	~~~	-0.080	-0.079	-0.086	-0.084	~~~	~~~	-0.086	-0.084	~~~	~~~	-0.087	-0.085	~~~	~~~	-0.133	-0.115	~~~	~~~
2.01.02_2.00	0.002	0.003	~~~	0.003	~~~	-0.032	-0.033	~~~	-0.033	~~~	-0.033	~~~	-0.016	-0.016	-0.017	-0.016	~~~	~~~	-0.017	-0.016	~~~	~~~	-0.017	-0.017	~~~	~~~	-0.026	-0.022	~~~	~~~
2.01.04_0.80	2.878	2.814	2.827	2.805	2.801	-1.397	-1.760	-1.674	-1.858	-1.891	-1.930	-1.926	-0.662	-0.735	-0.898	-0.861	-0.849	-0.825	-0.971	-0.887	-0.998	-0.893	-1.025	-0.905	-1.027	-0.899	-1.274	-1.114	-1.575	-1.368
2.01.04_0.85	1.783	1.746	~~~	1.738	~~~	-1.103	-1.362	~~~	-1.433	~~~	-1.485	~~~	-0.531	-0.572	-0.699	-0.664	~~~	~~~	-0.751	-0.682	~~~	~~~	-0.788	-0.696	~~~	~~~	-1.020	-0.891	~~~	~~~
2.01.04_0.90	1.086	1.066	~~~	1.061	~~~	-0.871	-1.054	~~~	-1.105	~~~	-1.142	~~~	-0.425	-0.446	-0.542	-0.512	~~~	~~~	-0.579	-0.526	~~~	~~~	-0.605	-0.536	~~~	~~~	-0.814	-0.711	~~~	~~~
2.01.04_0.95	0.650	0.640	~~~	0.636	~~~	-0.688	-0.817	~~~	-0.852	~~~	-0.878	~~~	-0.338	-0.349	-0.420	-0.397	~~~	~~~	-0.445	-0.407	~~~	~~~	-0.464	-0.414	~~~	~~~	-0.648	-0.565	~~~	~~~
2.01.04_1.00	0.381	0.375	0.383	0.373	0.373	-0.544	-0.634	-0.584	-0.659	-0.667	-0.678	-0.676	-0.269	-0.274	-0.325	-0.308	-0.299	-0.286	-0.343	-0.316	-0.349	-0.318	-0.356	-0.321	-0.356	-0.320	-0.515	-0.449	-0.555	-0.479
2.01.04_1.05	0.217	0.214	~~~	0.212	~~~	-0.430	-0.493	~~~	-0.511	~~~	-0.524	~~~	-0.214	-0.216	-0.252	-0.241	~~~	~~~	-0.265	-0.246	~~~	~~~	-0.274	-0.250	~~~	~~~	-0.409	-0.356	~~~	~~~
2.01.04_1.10	0.119	0.116	~~~	0.115	~~~	-0.341	-0.385	~~~	-0.398	~~~	-0.407	~~~	-0.170	-0.172	-0.196	-0.188	~~~	~~~	-0.205	-0.192	~~~	~~~	-0.211	-0.196	~~~	~~~	-0.324	-0.282	~~~	~~~
2.01.04_1.25	0.007	0.004	~~~	0.005	~~~	-0.174	-0.189	~~~	-0.194	~~~	-0.197	~~~	-0.086	-0.088	-0.095	-0.094	~~~	~~~	-0.098	-0.095	~~~	~~~	-0.100	-0.097	~~~	~~~	-0.164	-0.142	~~~	~~~
2.01.04_1.50	-0.012	-0.013	~~~	-0.013	~~~	-0.062	-0.065	~~~	-0.067	~~~	-0.068	~~~	-0.030	-0.032	-0.032	-0.033	~~~	~~~	-0.033	-0.034	~~~	~~~	-0.034	-0.034	~~~	~~~	-0.058	-0.050	~~~	~~~
2.01.04_2.00	-0.004	-0.005	~~~	-0.005	~~~	-0.012	-0.012	~~~	-0.012	~~~	-0.013	~~~	-0.006	-0.006	-0.006	-0.006	~~~	~~~	-0.006	-0.006	~~~	~~~	-0.006	-0.006	~~~	~~~	-0.010	-0.009	~~~	~~~
2.02.01_0.80	4.784	4.676	4.679	4.667	4.665	-3.616	-4.226	-4.088	-4.385	-4.444	-4.502	-4.505	-1.744	-1.872	-2.127	-2.098	-2.044	-2.045	-2.242	-2.144	-2.287	-2.157	-2.325	-2.177	-2.335	-2.170	-3.120	-2.744	-3.564	-3.112
2.02.01_0.85	2.923	2.875	~~~	2.864	~~~	-2.889	-3.343	~~~	-3.462	~~~	-3.549	~~~	-1.393	-1.495	-1.677	-1.666	~~~	~~~	-1.761	-1.701	~~~	~~~	-1.823	-1.727	~~~	~~~	-2.512	-2.206	~~~	~~~
2.02.01_0.90	1.726	1.718	~~~	1.707	~~~	-2.304	-2.642	~~~	-2.730	~~~	-2.795	~~~	-1.112	-1.192	-1.320	-1.322	~~~	~~~	-1.382	-1.348	~~~	~~~	-1.427	-1.368	~~~	~~~	-2.018	-1.769	~~~	~~~
2.02.01_0.95	0.972	0.986	~~~	0.976	~~~	-1.837	-2.087	~~~	-2.152	~~~	-2.200	~~~	-0.886	-0.951	-1.039	-1.048	~~~	~~~	-1.084	-1.068	~~~	~~~	-1.117	-1.083	~~~	~~~	-1.618	-1.416	~~~	~~~
2.02.01_1.00	0.508	0.530	0.528	0.523	0.523	-1.464	-1.649	-1.563	-1.697	-1.714	-1.732	-1.732	-0.706	-0.758	-0.819	-0.831	-0.769	-0.794	-0.851	-0.846	-0.863	-0.851	-0.875	-0.857	-0.876	-0.855	-1.295	-1.131	-1.377	-1.195
2.02.01_1.05	0.229	0.253	~~~	0.248	~~~	-1.168	-1.305	~~~	-1.340	~~~	-1.365	~~~	-0.562	-0.606	-0.646	-0.660	~~~	~~~	-0.669	-0.671	~~~	~~~	-0.686	-0.680	~~~	~~~	-1.036	-0.903	~~~	~~~
2.02.01_1.10	0.067	0.088	~~~	0.085	~~~	-0.932	-1.035	~~~	-1.060	~~~	-1.079	~~~	-0.448	-0.484	-0.510	-0.525	~~~	~~~	-0.527	-0.534	~~~	~~~	-0.539	-0.540	~~~	~~~	-0.828	-0.721	~~~	~~~
2.02.01_1.25	-0.094	-0.083	~~~	-0.082	~~~	-0.481	-0.526	~~~	-0.536	~~~	-0.542	~~~	-0.228	-0.252	-0.256	-0.270	~~~	~~~	-0.262	-0.274	~~~	~~~	-0.266	-0.276	~~~	~~~	-0.426	-0.369	~~~	~~~
2.02.01_1.50	-0.079	-0.076	~~~	-0.074	~~~	-0.172	-0.186	~~~	-0.188	~~~	-0.190	~~~	-0.080	-0.092	-0.088	-0.098	~~~	~~~	-0.090	-0.098	~~~	~~~	-0.091	-0.099	~~~	~~~	-0.150	-0.129	~~~	~~~
2.02.01_2.00	-0.025	-0.025	~~~	-0.025	~~~	-0.032	-0.034	~~~	-0.034	~~~	-0.034	~~~	-0.014	-0.018	-0.015	-0.018	~~~	~~~	-0.016	-0.018	~~~	~~~	-0.016	-0.018	~~~	~~~	-0.026	-0.023	~~~	~~~
2.02.04_0.80	4.950	4.861	4.882	4.844	4.842	-3.694	-4.457	-4.284	-4.650	-4.716	-4.791	-4.785	-1.746	-1.948	-2.212	-2.245	-2.107	-2.177	-2.348	-2.302	-2.398	-2.318	-2.446	-2.344	-2.451	-2.335	-3.470	-3.044	-4.041	-3.517
2.02.04_0.85	3.184	3.141	3.159	3.129	3.128	-3.015	-3.602	-3.445	-3.751	-3.801	-3.861	-3.854	-1.432	-1.583	-1.786	-1.816	-1.692	-1.753	-1.890	-1.862	-1.928	-1.874	-1.966	-1.895	-1.967	-1.887	-2.857	-2.507	-3.269	-2.844
2.02.04_0.90	2.000	1.983	1.997	1.975	1.975	-2.454	-2.905	-2.764	-3.020	-3.058	-3.105	-3.098	-1.171	-1.283	-1.439	-1.466	-1.357	-1.408	-1.518	-1.502	-1.547	-1.512	-1.576	-1.529	-1.576	-1.522	-2.344	-2.058	-2.636	-2.293
2.02.04_0.95	1.220	1.214	1.225	1.210	1.210	-1.995	-2.340	-2.215	-2.429	-2.458	-2.494	-2.488	-0.956	-1.039	-1.158	-1.182	-1.086	-1.129	-1.218	-1.210	-1.240	-1.218	-1.262	-1.231	-1.262	-1.226	-1.919	-1.685	-2.121	-1.844
2.02.04_1.00	0.714	0.712	0.720	0.710	0.711	-1.620	-1.884	-1.774	-1.952	-1.974	-2.002	-1.998	-0.779	-0.841	-0.932	-0.952	-0.869	-0.905	-0.977	-0.975	-0.993	-0.981	-1.010	-0.991	-1.010	-0.988	-1.568	-1.377	-1.705	-1.482
2.02.04_1.05	0.394	0.390	0.396	0.391	0.391	-1.315	-1.517	-1.421	-1.569	-1.586	-1.607	-1.604	-0.634	-0.681	-0.750	-0.768	-0.696	-0.725	-0.784	-0.785	-0.796	-0.790	-0.809	-0.798	-0.808	-0.796	-1.280	-1.124	-1.369	-1.190
2.02.04_1.10	0.195	0.189	0.194	0.190	0.191	-1.068	-1.223	-1.139	-1.262	-1.276	-1.291	-1.289	-0.517	-0.552	-0.604	-0.620	-0.557	-0.582	-0.629	-0.633	-0.638	-0.637	-0.648	-0.643	-0.648	-0.642	-1.044	-0.917	-1.100	-0.956
2.02.04_1.25	-0.032	-0.044	-0.040	-0.042	-0.041	-0.577	-0.648	-0.592	-0.665	-0.671	-0.677	-0.678	-0.280	-0.297	-0.318	-0.330	-0.289	-0.303	-0.329	-0.336	-0.333	-0.338	-0.337	-0.340	-0.337	-0.340	-0.570	-0.500	-0.574	-0.498
2.02.04_1.50	-0.052	-0.061	-0.057	-0.060	-0.059	-0.220	-0.240	-0.209	-0.244	-0.246	-0.248	-0.248	-0.107	-0.113	-0.117	-0.123	-0.101	-0.108	-0.120	-0.125	-0.121	-0.126	-0.122	-0.126	-0.122	-0.126	-0.217	-0.190	-0.201	-0.175
2.02.04_2.00	-0.015	-0.017	-0.016	-0.017	-0.017	-0.043	-0.045	-0.037	-0.046	-0.046	-0.046	-0.046	-0.021	-0.022	-0.022	-0.024	-0.017	-0.019	-0.022	-0.024	-0.022	-0.024	-0.022	-0.024	-0.022	-0.024	-0.042	-0.036	-0.034	-0.030
2.02.06_0.80	3.760	3.701	3.718	3.695	3.694	-2.612	-3.069	-2.956	-3.193	-3.238	-3.284	-3.285	-1.232	-1.379	-1.524	-1.545	-1.457	-1.499	-1.614	-1.579	-1.650	-1.588	-1.681	-1.603	-1.687	-1.598	-2.447	-2.137	-2.773	-2.410
2.02.06_0.85	2.325	2.295	~~~	2.291	~~~	-2.122	-2.468	~~~	-2.563	~~~	-2.631	~~~	-1.003	-1.119	-1.221	-1.247	~~~	~~~	-1.289	-1.273	~~~	~~~	-1.339	-1.292	~~~	~~~	-1.994	-1.742	~~~	~~~
2.02.06_0.90	1.387	1.374	~~~	1.370	~~~	-1.713	-1.975	~~~	-2.046	~~~	-2.099	~~~	-0.809	-0.904	-0.972	-1.003	~~~	~~~	-1.023	-1.024	~~~	~~~	-1.060	-1.038	~~~	~~~	-1.614	-1.410	~~~	~~~
2.02.06_0.95	0.784	0.779	~~~	0.777	~~~	-1.377	-1.575	~~~	-1.629	~~~	-1.668	~~~	-0.648	-0.728	-0.770	-0.805	~~~	~~~	-0.808	-0.821	~~~	~~~	-0.836	-0.833	~~~	~~~	-1.300	-1.135	~~~	~~~
2.02.06_1.00	0.405	0.403	0.417	0.402	0.402	-1.103	-1.254	-1.182	-1.294	-1.308	-1.324	-1.323	-0.517	-0.586	-0.608	-0.646	-0.568	-0.613	-0.636	-0.658	-0.647	-0.661	-0.657	-0.667	-0.658	-0.665	-1.044	-0.911	-1.108	-0.961
2.02.06_1.05	0.173	0.170	~~~	0.170	~~~	-0.882	-0.997	~~~	-1.028	~~~	-1.050	~~~	-0.410	-0.472	-0.479	-0.518	~~~	~~~	-0.500	-0.527	~~~	~~~	-0.516	-0.534	~~~	~~~	-0.836	-0.730	~~~	~~~
2.02.06_1.10	0.035	0.030	~~~	0.031	~~~	-0.705	-0.793	~~~	-0.816	~~~	-0.833	~~~	-0.325	-0.380	-0.378	-0.416	~~~	~~~	-0.393	-0.423	~~~	~~~	-0.405	-0.428	~~~	~~~	-0.670	-0.584	~~~	~~~
2.02.06_1.25	-0.103	-0.112	~~~	-0.111	~~~	-0.364	-0.404	~~~	-0.414	~~~	-0.422	~~~	-0.162	-0.201	-0.186	-0.218	~~~	~~~	-0.193	-0.221	~~~	~~~	-0.198	-0.224	~~~	~~~	-0.346	-0.300	~~~	~~~
2.02.06_1.50	-0.086	-0.093	~~~	-0.092	~~~	-0.129	-0.141	~~~	-0.144	~~~	-0.147	~~~	-0.054	-0.075	-0.061	-0.080	~~~	~~~	-0.063	-0.081	~~~	~~~	-0.065	-0.082	~~~	~~~	-0.122	-0.105	~~~	~~~
2.02.06_2.00	-0.031	-0.034	~~~	-0.033	~~~	-0.022	-0.024	~~~	-0.024	~~~	-0.025	~~~	-0.008	-0.014	-0.008	-0.015	~~~	~~~	-0.009	-0.015	~~~	~~~	-0.009	-0.015	~~~	~~~	-0.020	-0.017	~~~	~~~
2.03.01_0.80	9.524	9.308	9.327	9.266	9.239	-7.988	-9.062	-8.848	-9.330	-9.420	-9.526	-9.513	-3.953	-4.035	-4.635	-4.427	-4.504	-4.344	-4.833	-4.498	-4.906	-4.514	-4.977	-4.549	-4.982	-4.531	-7.206	-6.114	-8.074	-6.785
2.03.01_0.85	6.344	6.212	~~~	6.182	~~~	-6.663	-7.475	~~~	-7.676	~~~	-7.823	~~~	-3.311	-3.352	-3.819	-3.656	~~~	~~~	-3.966	-3.711	~~~	~~~	-4.073	-3.751	~~~	~~~	-6.067	-5.147	~~~	~~~
2.03.01_0.90	4.181	4.104	~~~	4.083	~~~	-5.562	-6.173	~~~	-6.324	~~~	-6.433	~~~	-2.773	-2.789	-3.150	-3.024	~~~	~~~	-3.258	-3.066	~~~	~~~	-3.337	-3.097	~~~	~~~	-5.104	-4.330	~~~	~~~
2.03.01_0.95	2.723	2.680	~~~	2.666	~~~	-4.647	-5.105	~~~	-5.217	~~~	-5.299	~~~	-2.323	-2.325	-2.600	-2.505	~~~	~~~	-2.680	-2.537	~~~	~~~	-2.738	-2.561	~~~	~~~	-4.292	-3.640	~~~	~~~
2.03.01_1.00	1.749	1.726	1.732	1.717	1.712	-3.887	-4.228	-4.112	-4.311	-4.335	-4.372	-4.360	-1.946	-1.941	-2.150	-2.078	-2.082	-2.030	-2.208	-2.103	-2.227	-2.108	-2.250	-2.122	-2.247	-2.113	-3.607	-3.058	-3.813	-3.190
2.03.01_1.05	1.104	1.093	~~~	1.087	~~~	-3.254	-3.509	~~~	-3.570	~~~	-3.615	~~~	-1.631	-1.624	-1.781	-1.728	~~~	~~~	-1.823	-1.748	~~~	~~~	-1.854	-1.762	~~~	~~~	-3.032	-2.569	~~~	~~~
2.03.01_1.10	0.682	0.677	~~~	0.673	~~~	-2.729	-2.918	~~~	-2.964	~~~	-2.996	~~~	-1.368	-1.361	-1.478	-1.440	~~~	~~~	-1.508	-1.455	~~~	~~~	-1.531	-1.466	~~~	~~~	-2.549	-2.159	~~~	~~~
2.03.01_1.25	0.122	0.120	~~~	0.120	~~~	-1.629	-1.706	~~~	-1.724	~~~	-1.737	~~~	-0.816	-0.813	-0.859	-0.848	~~~	~~~	-0.870	-0.854	~~~	~~~	-0.878	-0.859	~~~	~~~	-1.523	-1.289	~~~	~~~
2.03.01_1.50	-0.032	-0.033	~~~	-0.033	~~~	-0.728	-0.747	~~~	-0.750	~~~	-0.753	~~~	-0.363	-0.365	-0.372	-0.374	~~~	~~~	-0.375	-0.376	~~~	~~~	-0.376	-0.377	~~~	~~~	-0.674	-0.570	~~~	~~~
2.03.01_2.00	-0.016	-0.016	~~~	-0.016	~~~	-0.187	-0.188	~~~	-0.188	~~~	-0.188	~~~	-0.093	-0.094	-0.093	-0.095	~~~	~~~	-0.093	-0.095	~~~	~~~	-0.093	-0.095	~~~	~~~	-0.168	-0.142	~~~	~~~
2.03.10_0.80	12.202	12.016	12.030	11.985	11.962	-10.739	-11.972	-11.667	-12.282	-12.385	-12.509	-12.492	-5.364	-5.375	-6.160	-5.812	-5.972	-5.695	-6.394	-5.888	-6.480	-5.904	-6.565	-5.943	-6.571	-5.921	-9.678	-8.223	-10.594	-8.903
2.03.10_0.85	8.629	8.507	~~~	8.485	~~~	-9.099	-10.056	~~~	-10.293	~~~	-10.466	~~~	-4.562	-4.537	-5.172	-4.884	~~~	~~~	-5.349	-4.944	~~~	~~~	-5.479	-4.987	~~~	~~~	-8.262	-7.017	~~~	~~~
2.03.10_0.90	6.078	6.002	~~~	5.986	~~~	-7.712	-8.453	~~~	-8.634	~~~	-8.765	~~~	-3.879	-3.833	-4.345	-4.109	~~~	~~~	-4.478	-4.155	~~~	~~~	-4.576	-4.189	~~~	~~~	-7.048	-5.983	~~~	~~~
2.03.10_0.95	4.267	4.221	~~~	4.210	~~~	-6.540	-7.112	~~~	-7.249	~~~	-7.349	~~~	-3.298	-3.242	-3.652	-3.460	~~~	~~~	-3.753	-3.496	~~~	~~~	-3.826	-3.523	~~~	~~~	-6.008	-5.098	~~~	~~~
2.03.10_1.00	2.988	2.962	2.968	2.954	2.949	-5.549	-5.991	-5.820	-6.095	-6.126	-6.170	-6.158	-2.804	-2.745	-3.074	-2.918	-2.972	-2.848	-3.149	-2.946	-3.174	-2.951	-3.203	-2.967	-3.201	-2.956	-5.119	-4.342	-5.351	-4.478
2.03.10_1.05	2.090	2.075	~~~	2.069	~~~	-4.713	-5.054	~~~	-5.132	~~~	-5.189	~~~	-2.385	-2.328	-2.590	-2.464	~~~	~~~	-2.646	-2.487	~~~	~~~	-2.686	-2.503	~~~	~~~	-4.362	-3.698	~~~	~~~
2.03.10_1.10	1.461	1.453	~~~	1.449	~~~	-4.008	-4.271	~~~	-4.330	~~~	-4.373	~~~	-2.030	-1.978	-2.185	-2.086	~~~	~~~	-2.227	-2.103	~~~	~~~	-2.257	-2.116	~~~	~~~	-3.717	-3.150	~~~	~~~
2.03.10_1.25	0.505	0.505	~~~	0.503	~~~	-2.489	-2.609	~~~	-2.634	~~~	-2.652	~~~	-1.261	-1.228	-1.329	-1.280	~~~	~~~	-1.346	-1.288	~~~	~~~	-1.358	-1.294	~~~	~~~	-2.311	-1.956	~~~	~~~
2.03.10_1.50	0.101	0.103	~~~	0.103	~~~	-1.176	-1.210	~~~	-1.216	~~~	-1.220	~~~	-0.594	-0.582	-0.612	-0.598	~~~	~~~	-0.616	-0.600	~~~	~~~	-0.618	-0.602	~~~	~~~	-1.082	-0.915	~~~	~~~
2.03.10_2.00	0.018	0.018	~~~	0.018	~~~	-0.321	-0.325	~~~	-0.325	~~~	-0.325	~~~	-0.162	-0.159	-0.164	-0.161	~~~	~~~	-0.164	-0.161	~~~	~~~	-0.164	-0.162	~~~	~~~	-0.286	-0.242	~~~	~~~
2.03.13_0.80	16.320	16.135	16.147	16.056	16.014	-14.942	-16.879	-16.669	-17.412	-17.600	-17.800	-17.799	-7.492	-7.450	-8.727	-8.152	-8.595	-8.073	-9.118	-8.294	-9.269	-8.331	-9.402	-8.398	-9.429	-8.370	-11.672	-9.713	-13.321	-11.004
2.03.13_0.85	10.392	10.332	~~~	10.276	~~~	-12.278	-13.751	~~~	-14.153	~~~	-14.447	~~~	-6.148	-6.130	-7.077	-6.674	~~~	~~~	-7.369	-6.784	~~~	~~~	-7.582	-6.865	~~~	~~~	-9.643	-8.022	~~~	~~~
2.03.13_0.90	6.458	6.473	~~~	6.435	~~~	-10.099	-11.216	~~~	-11.518	~~~	-11.739	~~~	-5.048	-5.051	-5.745	-5.471	~~~	~~~	-5.962	-5.556	~~~	~~~	-6.121	-5.618	~~~	~~~	-7.967	-6.625	~~~	~~~
2.03.13_0.95	3.883	3.936	~~~	3.912	~~~	-8.315	-9.160	~~~	-9.387	~~~	-9.553	~~~	-4.148	-4.167	-4.670	-4.490	~~~	~~~	-4.831	-4.556	~~~	~~~	-4.949	-4.604	~~~	~~~	-6.584	-5.470	~~~	~~~
2.03.13_1.00	2.223	2.290	2.291	2.275	2.266	-6.855	-7.494	-7.371	-7.663	-7.715	-7.787	-7.769	-3.412	-3.443	-3.802	-3.692	-3.729	-3.642	-3.921	-3.742	-3.962	-3.753	-4.008	-3.778	-4.005	-3.764	-5.442	-4.517	-5.908	-4.851
2.03.13_1.05	1.170	1.237	~~~	1.228	~~~	-5.659	-6.142	~~~	-6.268	~~~	-6.360	~~~	-2.809	-2.850	-3.102	-3.040	~~~	~~~	-3.189	-3.078	~~~	~~~	-3.253	-3.106	~~~	~~~	-4.500	-3.732	~~~	~~~
2.03.13_1.10	0.514	0.575	~~~	0.570	~~~	-4.679	-5.045	~~~	-5.138	~~~	-5.206	~~~	-2.316	-2.363	-2.536	-2.509	~~~	~~~	-2.600	-2.538	~~~	~~~	-2.647	-2.559	~~~	~~~	-3.723	-3.084	~~~	~~~
2.03.13_1.25	-0.245	-0.210	~~~	-0.208	~~~	-2.676	-2.840	~~~	-2.877	~~~	-2.904	~~~	-1.312	-1.364	-1.409	-1.431	~~~	~~~	-1.434	-1.442	~~~	~~~	-1.452	-1.451	~~~	~~~	-2.122	-1.753	~~~	~~~
2.03.13_1.50	-0.303	-0.286	~~~	-0.284	~~~	-1.114	-1.163	~~~	-1.171	~~~	-1.177	~~~	-0.537	-0.577	-0.566	-0.597	~~~	~~~	-0.572	-0.599	~~~	~~~	-0.576	-0.601	~~~	~~~	-0.867	-0.714	~~~	~~~
2.03.13_2.00	-0.115	-0.110	~~~	-0.109	~~~	-0.249	-0.256	~~~	-0.257	~~~	-0.258	~~~	-0.116	-0.132	-0.121	-0.134	~~~	~~~	-0.122	-0.135	~~~	~~~	-0.123	-0.135	~~~	~~~	-0.185	-0.151	~~~	~~~
2.03.18_0.80	6.888	6.771	6.785	6.754	6.741	-5.169	-5.891	-5.688	-6.068	-6.126	-6.197	-6.187	-2.583	-2.586	-3.057	-2.834	-2.932	-2.756	-3.193	-2.875	-3.242	-2.884	-3.292	-2.905	-3.295	-2.893	-4.878	-4.179	-5.394	-4.577
2.03.18_0.85	4.715	4.640	~~~	4.628	~~~	-4.308	-4.855	~~~	-4.987	~~~	-5.083	~~~	-2.160	-2.148	-2.515	-2.340	~~~	~~~	-2.616	-2.371	~~~	~~~	-2.689	-2.394	~~~	~~~	-4.096	-3.506	~~~	~~~
2.03.18_0.90	3.206	3.161	~~~	3.152	~~~	-3.591	-4.004	~~~	-4.102	~~~	-4.174	~~~	-1.806	-1.785	-2.070	-1.934	~~~	~~~	-2.144	-1.957	~~~	~~~	-2.199	-1.975	~~~	~~~	-3.435	-2.937	~~~	~~~
2.03.18_0.95	2.167	2.143	~~~	2.136	~~~	-2.994	-3.305	~~~	-3.378	~~~	-3.431	~~~	-1.508	-1.485	-1.705	-1.600	~~~	~~~	-1.760	-1.618	~~~	~~~	-1.800	-1.631	~~~	~~~	-2.878	-2.458	~~~	~~~
2.03.18_1.00	1.458	1.446	1.453	1.441	1.439	-2.497	-2.732	-2.624	-2.786	-2.803	-2.825	-2.822	-1.260	-1.237	-1.406	-1.326	-1.343	-1.281	-1.446	-1.340	-1.461	-1.342	-1.475	-1.350	-1.476	-1.345	-2.410	-2.057	-2.519	-2.124
2.03.18_1.05	0.978	0.972	~~~	0.969	~~~	-2.085	-2.261	~~~	-2.302	~~~	-2.332	~~~	-1.052	-1.032	-1.161	-1.100	~~~	~~~	-1.191	-1.111	~~~	~~~	-1.212	-1.119	~~~	~~~	-2.017	-1.720	~~~	~~~
2.03.18_1.10	0.654	0.651	~~~	0.649	~~~	-1.743	-1.876	~~~	-1.906	~~~	-1.929	~~~	-0.880	-0.863	-0.961	-0.915	~~~	~~~	-0.983	-0.924	~~~	~~~	-0.999	-0.930	~~~	~~~	-1.689	-1.440	~~~	~~~
2.03.18_1.25	0.193	0.194	~~~	0.194	~~~	-1.030	-1.088	~~~	-1.101	~~~	-1.111	~~~	-0.519	-0.512	-0.553	-0.535	~~~	~~~	-0.562	-0.539	~~~	~~~	-0.569	-0.542	~~~	~~~	-0.998	-0.850	~~~	~~~
2.03.18_1.50	0.024	0.026	~~~	0.027	~~~	-0.453	-0.469	~~~	-0.472	~~~	-0.474	~~~	-0.227	-0.226	-0.236	-0.233	~~~	~~~	-0.238	-0.234	~~~	~~~	-0.240	-0.235	~~~	~~~	-0.434	-0.369	~~~	~~~
2.03.18_2.00	0.000	0.001	~~~	0.001	~~~	-0.112	-0.114	~~~	-0.114	~~~	-0.114	~~~	-0.055	-0.056	-0.057	-0.057	~~~	~~~	-0.057	-0.057	~~~	~~~	-0.057	-0.057	~~~	~~~	-0.104	-0.088	~~~	~~~
