# Interaction energies and their componets in kcal/mol
# Prefix corr_ denotes the correlation enegy term only
# Suffixes _os and _ss denote the other-spin and same-spin components of the correlation energy
system	HF/aDZ	HF/aTZ	HF/haTZ	HF/aQZ	HF/a5Z	corr_MP2/aDZ	corr_MP2/aTZ	corr_MP2/haTZ	corr_MP2/aQZ	corr_MP2/a5Z	corr_MP2/CBS(aTQZ)	corr_MP2/CBS(aQ5Z)	corr_MP2_os/aDZ	corr_MP2_ss/aDZ	corr_MP2_os/aTZ	corr_MP2_ss/aTZ	corr_MP2_os/haTZ	corr_MP2_ss/haTZ	corr_MP2_os/aQZ	corr_MP2_ss/aQZ	corr_MP2_os/a5Z	corr_MP2_ss/a5Z	corr_MP2_os/CBS(aTQZ)	corr_MP2_ss/CBS(aTQZ)	corr_MP2_os/CBS(aQ5Z)	corr_MP2_ss/CBS(aQ5Z)	corr_CCSD(T)/aDZ	corr_CCSD/aDZ	corr_CCSD(T)/haTZ	corr_CCSD/haTZ
3.1.01_105	-0.326	-0.091	~~~	-0.093	~~~	-3.821	-4.586	~~~	-4.757	~~~	-4.882	~~~	-1.822	-1.998	-2.284	-2.301	~~~	~~~	-2.399	-2.358	~~~	~~~	-2.483	-2.4	~~~	~~~	-2.856	-2.354	~~~	~~~
3.1.01_110	-0.774	-0.565	~~~	-0.562	~~~	-3.011	-3.594	~~~	-3.715	~~~	-3.803	~~~	-1.428	-1.583	-1.779	-1.815	~~~	~~~	-1.859	-1.856	~~~	~~~	-1.917	-1.886	~~~	~~~	-2.258	-1.86	~~~	~~~
3.1.01_125	-0.985	-0.863	~~~	-0.854	~~~	-1.482	-1.748	~~~	-1.793	~~~	-1.827	~~~	-0.685	-0.797	-0.846	-0.902	~~~	~~~	-0.875	-0.918	~~~	~~~	-0.896	-0.931	~~~	~~~	-1.113	-0.915	~~~	~~~
3.1.01_150	-0.606	-0.561	~~~	-0.556	~~~	-0.481	-0.564	~~~	-0.576	~~~	-0.585	~~~	-0.208	-0.273	-0.26	-0.303	~~~	~~~	-0.268	-0.308	~~~	~~~	-0.273	-0.312	~~~	~~~	-0.354	-0.291	~~~	~~~
3.1.01_200	-0.211	-0.198	~~~	-0.197	~~~	-0.063	-0.081	~~~	-0.082	~~~	-0.083	~~~	-0.02	-0.043	-0.032	-0.048	~~~	~~~	-0.033	-0.049	~~~	~~~	-0.034	-0.049	~~~	~~~	-0.042	-0.034	~~~	~~~
3.1.02_080	17.208	17.125	17.136	17.062	17.06	-12.788	-15.277	-15.182	-15.976	-16.231	-16.487	-16.498	-6.527	-6.261	-8.041	-7.236	-7.982	-7.2	-8.518	-7.459	-8.71	-7.521	-8.865	-7.622	-8.912	-7.586	-9.492	-7.975	-11.545	-9.611
3.1.02_085	10.283	10.332	~~~	10.285	~~~	-10.087	-11.913	~~~	-12.414	~~~	-12.779	~~~	-5.162	-4.925	-6.258	-5.655	~~~	~~~	-6.594	-5.82	~~~	~~~	-6.839	-5.94	~~~	~~~	-7.542	-6.339	~~~	~~~
3.1.02_090	6.023	6.133	~~~	6.102	~~~	-7.946	-9.289	~~~	-9.642	~~~	-9.899	~~~	-4.073	-3.872	-4.868	-4.421	~~~	~~~	-5.101	-4.541	~~~	~~~	-5.271	-4.628	~~~	~~~	-5.98	-5.025	~~~	~~~
3.1.02_095	3.449	3.578	~~~	3.56	~~~	-6.261	-7.25	~~~	-7.494	~~~	-7.672	~~~	-3.213	-3.048	-3.79	-3.459	~~~	~~~	-3.948	-3.546	~~~	~~~	-4.064	-3.609	~~~	~~~	-4.737	-3.979	~~~	~~~
3.1.02_100	1.923	2.048	2.052	2.039	2.037	-4.942	-5.669	-5.623	-5.836	-5.891	-5.958	-5.95	-2.538	-2.404	-2.958	-2.712	-2.93	-2.693	-3.062	-2.773	-3.102	-2.79	-3.139	-2.818	-3.142	-2.807	-3.756	-3.154	-4.313	-3.557
3.1.02_105	1.038	1.148	~~~	1.144	~~~	-3.912	-4.446	~~~	-4.558	~~~	-4.64	~~~	-2.011	-1.901	-2.315	-2.131	~~~	~~~	-2.383	-2.175	~~~	~~~	-2.433	-2.207	~~~	~~~	-2.984	-2.504	~~~	~~~
3.1.02_110	0.538	0.627	~~~	0.627	~~~	-3.108	-3.499	~~~	-3.574	~~~	-3.63	~~~	-1.599	-1.509	-1.819	-1.68	~~~	~~~	-1.863	-1.712	~~~	~~~	-1.895	-1.735	~~~	~~~	-2.377	-1.995	~~~	~~~
3.1.02_125	0.051	0.087	~~~	0.09	~~~	-1.603	-1.756	~~~	-1.78	~~~	-1.797	~~~	-0.829	-0.774	-0.911	-0.845	~~~	~~~	-0.922	-0.858	~~~	~~~	-0.93	-0.867	~~~	~~~	-1.232	-1.037	~~~	~~~
3.1.02_150	0.02	0.027	~~~	0.027	~~~	-0.599	-0.633	~~~	-0.635	~~~	-0.637	~~~	-0.316	-0.283	-0.332	-0.3	~~~	~~~	-0.331	-0.304	~~~	~~~	-0.331	-0.307	~~~	~~~	-0.463	-0.393	~~~	~~~
3.1.02_200	0.043	0.043	~~~	0.042	~~~	-0.13	-0.132	~~~	-0.13	~~~	-0.128	~~~	-0.074	-0.056	-0.074	-0.058	~~~	~~~	-0.072	-0.058	~~~	~~~	-0.07	-0.058	~~~	~~~	-0.104	-0.09	~~~	~~~
3.1.03_080	20.55	20.759	20.769	20.708	20.706	-16.325	-20.41	-20.323	-21.678	-22.163	-22.603	-22.672	-7.384	-8.941	-9.882	-10.528	-9.829	-10.494	-10.803	-10.875	-11.185	-10.978	-11.475	-11.128	-11.586	-11.086	-10.429	-8.318	-13.959	-11.248
3.1.03_085	12.078	12.483	~~~	12.437	~~~	-13.342	-16.46	~~~	-17.406	~~~	-18.097	~~~	-6.121	-7.221	-8.01	-8.45	~~~	~~~	-8.69	-8.716	~~~	~~~	-9.186	-8.91	~~~	~~~	-8.65	-6.925	~~~	~~~
3.1.03_090	6.688	7.181	~~~	7.142	~~~	-10.792	-13.18	~~~	-13.882	~~~	-14.394	~~~	-5.003	-5.789	-6.436	-6.744	~~~	~~~	-6.935	-6.947	~~~	~~~	-7.299	-7.095	~~~	~~~	-7.092	-5.698	~~~	~~~
3.1.03_095	3.347	3.857	~~~	3.828	~~~	-8.672	-10.508	~~~	-11.026	~~~	-11.403	~~~	-4.052	-4.62	-5.143	-5.365	~~~	~~~	-5.506	-5.519	~~~	~~~	-5.772	-5.631	~~~	~~~	-5.767	-4.648	~~~	~~~
3.1.03_100	1.338	1.824	1.829	1.805	1.807	-6.943	-8.362	-8.317	-8.74	-8.878	-9.015	-9.023	-3.262	-3.681	-4.098	-4.265	-4.071	-4.245	-4.36	-4.38	-4.465	-4.413	-4.551	-4.464	-4.576	-4.448	-4.663	-3.768	-5.833	-4.687
3.1.03_105	0.18	0.62	~~~	0.609	~~~	-5.551	-6.652	~~~	-6.925	~~~	-7.124	~~~	-2.618	-2.934	-3.261	-3.392	~~~	~~~	-3.448	-3.477	~~~	~~~	-3.585	-3.539	~~~	~~~	-3.758	-3.044	~~~	~~~
3.1.03_110	-0.45	-0.064	~~~	-0.069	~~~	-4.441	-5.297	~~~	-5.493	~~~	-5.637	~~~	-2.098	-2.343	-2.595	-2.702	~~~	~~~	-2.728	-2.765	~~~	~~~	-2.826	-2.811	~~~	~~~	-3.025	-2.454	~~~	~~~
3.1.03_125	-0.901	-0.663	~~~	-0.66	~~~	-2.307	-2.711	~~~	-2.787	~~~	-2.842	~~~	-1.087	-1.22	-1.319	-1.392	~~~	~~~	-1.369	-1.418	~~~	~~~	-1.405	-1.437	~~~	~~~	-1.584	-1.289	~~~	~~~
3.1.03_150	-0.574	-0.472	~~~	-0.47	~~~	-0.84	-0.965	~~~	-0.985	~~~	-1	~~~	-0.388	-0.452	-0.46	-0.505	~~~	~~~	-0.472	-0.513	~~~	~~~	-0.482	-0.518	~~~	~~~	-0.567	-0.462	~~~	~~~
3.1.03_200	-0.187	-0.153	~~~	-0.154	~~~	-0.157	-0.181	~~~	-0.184	~~~	-0.185	~~~	-0.068	-0.089	-0.083	-0.098	~~~	~~~	-0.084	-0.099	~~~	~~~	-0.086	-0.1	~~~	~~~	-0.097	-0.078	~~~	~~~
3.2.01_080	12.437	12.32	12.327	12.227	12.229	-8.133	-10.912	-10.912	-11.931	-12.328	-12.674	-12.744	-3.072	-5.061	-4.769	-6.143	-4.77	-6.142	-5.537	-6.394	-5.856	-6.472	-6.098	-6.577	-6.19	-6.554	-4.742	-3.628	-7.501	-6.036
3.2.01_085	5.878	6.189	~~~	6.115	~~~	-6.804	-8.959	~~~	-9.709	~~~	-10.256	~~~	-2.708	-4.096	-4.01	-4.949	~~~	~~~	-4.57	-5.139	~~~	~~~	-4.978	-5.278	~~~	~~~	-4.154	-3.22	~~~	~~~
3.2.01_090	1.727	2.252	~~~	2.191	~~~	-5.567	-7.226	~~~	-7.777	~~~	-8.179	~~~	-2.293	-3.274	-3.282	-3.944	~~~	~~~	-3.687	-4.09	~~~	~~~	-3.983	-4.196	~~~	~~~	-3.523	-2.758	~~~	~~~
3.2.01_095	-0.778	-0.168	~~~	-0.215	~~~	-4.491	-5.764	~~~	-6.169	~~~	-6.464	~~~	-1.894	-2.597	-2.641	-3.122	~~~	~~~	-2.934	-3.235	~~~	~~~	-3.148	-3.316	~~~	~~~	-2.925	-2.307	~~~	~~~
3.2.01_100	-2.182	-1.56	-1.558	-1.595	-1.593	-3.596	-4.57	-4.57	-4.87	-4.994	-5.088	-5.124	-1.543	-2.053	-2.105	-2.465	-2.106	-2.464	-2.318	-2.552	-2.413	-2.581	-2.473	-2.615	-2.513	-2.611	-2.397	-1.902	-3.306	-2.661
3.2.01_105	-2.872	-2.28	~~~	-2.304	~~~	-2.872	-3.618	~~~	-3.84	~~~	-4.002	~~~	-1.248	-1.624	-1.671	-1.947	~~~	~~~	-1.826	-2.014	~~~	~~~	-1.939	-2.063	~~~	~~~	-1.952	-1.555	~~~	~~~
3.2.01_110	-3.117	-2.577	~~~	-2.591	~~~	-2.295	-2.867	~~~	-3.031	~~~	-3.15	~~~	-1.007	-1.288	-1.325	-1.542	~~~	~~~	-1.438	-1.593	~~~	~~~	-1.52	-1.63	~~~	~~~	-1.584	-1.266	~~~	~~~
3.2.01_125	-2.709	-2.34	~~~	-2.344	~~~	-1.19	-1.451	~~~	-1.515	~~~	-1.562	~~~	-0.527	-0.663	-0.664	-0.787	~~~	~~~	-0.707	-0.808	~~~	~~~	-0.739	-0.824	~~~	~~~	-0.845	-0.678	~~~	~~~
3.2.01_150	-1.57	-1.376	~~~	-1.377	~~~	-0.425	-0.508	~~~	-0.521	~~~	-0.531	~~~	-0.18	-0.246	-0.221	-0.287	~~~	~~~	-0.23	-0.291	~~~	~~~	-0.236	-0.294	~~~	~~~	-0.295	-0.234	~~~	~~~
3.2.01_200	-0.566	-0.488	~~~	-0.49	~~~	-0.069	-0.091	~~~	-0.091	~~~	-0.092	~~~	-0.02	-0.048	-0.032	-0.059	~~~	~~~	-0.033	-0.059	~~~	~~~	-0.033	-0.059	~~~	~~~	-0.036	-0.025	~~~	~~~
3.2.02_080	9.868	9.737	9.741	9.687	9.686	-5.246	-6.681	-6.668	-7.085	-7.243	-7.38	-7.408	-2.41	-2.836	-3.348	-3.333	-3.339	-3.329	-3.631	-3.454	-3.751	-3.492	-3.838	-3.542	-3.877	-3.532	-4.083	-3.317	-5.541	-4.604
3.2.02_085	4.992	5.015	~~~	4.977	~~~	-4.216	-5.226	~~~	-5.501	~~~	-5.702	~~~	-1.983	-2.233	-2.636	-2.59	~~~	~~~	-2.823	-2.678	~~~	~~~	-2.959	-2.742	~~~	~~~	-3.368	-2.755	~~~	~~~
3.2.02_090	2.147	2.238	~~~	2.212	~~~	-3.379	-4.084	~~~	-4.269	~~~	-4.404	~~~	-1.623	-1.756	-2.072	-2.012	~~~	~~~	-2.193	-2.076	~~~	~~~	-2.282	-2.122	~~~	~~~	-2.766	-2.274	~~~	~~~
3.2.02_095	0.567	0.679	~~~	0.664	~~~	-2.711	-3.2	~~~	-3.322	~~~	-3.411	~~~	-1.328	-1.384	-1.634	-1.565	~~~	~~~	-1.71	-1.612	~~~	~~~	-1.766	-1.646	~~~	~~~	-2.268	-1.872	~~~	~~~
3.2.02_100	-0.247	-0.138	-0.137	-0.144	-0.146	-2.181	-2.518	-2.511	-2.598	-2.625	-2.655	-2.653	-1.087	-1.094	-1.296	-1.223	-1.291	-1.22	-1.341	-1.257	-1.359	-1.266	-1.374	-1.281	-1.378	-1.276	-1.86	-1.541	-2.18	-1.805
3.2.02_105	-0.615	-0.52	~~~	-0.522	~~~	-1.762	-1.993	~~~	-2.042	~~~	-2.078	~~~	-0.893	-0.869	-1.033	-0.96	~~~	~~~	-1.058	-0.984	~~~	~~~	-1.076	-1.002	~~~	~~~	-1.527	-1.269	~~~	~~~
3.2.02_110	-0.735	-0.657	~~~	-0.656	~~~	-1.429	-1.588	~~~	-1.616	~~~	-1.637	~~~	-0.736	-0.694	-0.83	-0.758	~~~	~~~	-0.841	-0.775	~~~	~~~	-0.849	-0.787	~~~	~~~	-1.256	-1.047	~~~	~~~
3.2.02_125	-0.56	-0.526	~~~	-0.522	~~~	-0.788	-0.837	~~~	-0.836	~~~	-0.834	~~~	-0.422	-0.365	-0.45	-0.387	~~~	~~~	-0.443	-0.393	~~~	~~~	-0.438	-0.397	~~~	~~~	-0.712	-0.6	~~~	~~~
3.2.02_150	-0.167	-0.16	~~~	-0.157	~~~	-0.334	-0.341	~~~	-0.33	~~~	-0.322	~~~	-0.191	-0.143	-0.195	-0.146	~~~	~~~	-0.184	-0.146	~~~	~~~	-0.176	-0.146	~~~	~~~	-0.312	-0.267	~~~	~~~
3.2.02_200	0.06	0.06	~~~	0.061	~~~	-0.101	-0.1	~~~	-0.093	~~~	-0.088	~~~	-0.066	-0.035	-0.066	-0.035	~~~	~~~	-0.059	-0.034	~~~	~~~	-0.054	-0.034	~~~	~~~	-0.1	-0.088	~~~	~~~
3.2.03_080	13.979	13.686	13.708	13.556	13.548	-7.608	-10.658	-10.622	-11.629	-12.004	-12.338	-12.398	-3.124	-4.483	-5.137	-5.521	-5.116	-5.507	-5.867	-5.762	-6.168	-5.837	-6.4	-5.938	-6.482	-5.915	-5.489	-4.271	-8.552	-7.061
3.2.03_085	6.48	6.545	~~~	6.447	~~~	-6.623	-8.937	~~~	-9.65	~~~	-10.17	~~~	-2.843	-3.78	-4.354	-4.582	~~~	~~~	-4.885	-4.765	~~~	~~~	-5.271	-4.899	~~~	~~~	-4.964	-3.893	~~~	~~~
3.2.03_090	1.935	2.173	~~~	2.1	~~~	-5.609	-7.351	~~~	-7.876	~~~	-8.258	~~~	-2.479	-3.13	-3.604	-3.747	~~~	~~~	-3.988	-3.888	~~~	~~~	-4.268	-3.99	~~~	~~~	-4.335	-3.423	~~~	~~~
3.2.03_095	-0.699	-0.395	~~~	-0.447	~~~	-4.67	-5.974	~~~	-6.361	~~~	-6.644	~~~	-2.11	-2.56	-2.94	-3.034	~~~	~~~	-3.219	-3.142	~~~	~~~	-3.422	-3.222	~~~	~~~	-3.7	-2.94	~~~	~~~
3.2.03_100	-2.117	-1.804	-1.798	-1.838	-1.842	-3.85	-4.824	-4.811	-5.111	-5.219	-5.32	-5.333	-1.771	-2.079	-2.382	-2.442	-2.375	-2.436	-2.585	-2.526	-2.667	-2.552	-2.733	-2.588	-2.754	-2.579	-3.115	-2.491	-4.042	-3.288
3.2.03_105	-2.776	-2.486	~~~	-2.503	~~~	-3.159	-3.886	~~~	-4.098	~~~	-4.254	~~~	-1.476	-1.683	-1.926	-1.96	~~~	~~~	-2.073	-2.026	~~~	~~~	-2.18	-2.073	~~~	~~~	-2.603	-2.093	~~~	~~~
3.2.03_110	-2.979	-2.725	~~~	-2.731	~~~	-2.588	-3.131	~~~	-3.287	~~~	-3.401	~~~	-1.226	-1.362	-1.558	-1.574	~~~	~~~	-1.664	-1.624	~~~	~~~	-1.741	-1.66	~~~	~~~	-2.165	-1.751	~~~	~~~
3.2.03_125	-2.472	-2.331	~~~	-2.325	~~~	-1.427	-1.657	~~~	-1.716	~~~	-1.759	~~~	-0.699	-0.728	-0.834	-0.824	~~~	~~~	-0.871	-0.845	~~~	~~~	-0.899	-0.861	~~~	~~~	-1.234	-1.012	~~~	~~~
3.2.03_150	-1.304	-1.257	~~~	-1.252	~~~	-0.55	-0.61	~~~	-0.622	~~~	-0.63	~~~	-0.277	-0.273	-0.311	-0.3	~~~	~~~	-0.317	-0.305	~~~	~~~	-0.322	-0.309	~~~	~~~	-0.484	-0.404	~~~	~~~
3.2.03_200	-0.393	-0.383	~~~	-0.382	~~~	-0.105	-0.113	~~~	-0.113	~~~	-0.114	~~~	-0.054	-0.051	-0.059	-0.054	~~~	~~~	-0.059	-0.055	~~~	~~~	-0.059	-0.055	~~~	~~~	-0.09	-0.078	~~~	~~~
3.2.04_080	15.488	15.289	15.31	15.176	15.171	-9.537	-11.735	-11.674	-12.362	-12.605	-12.82	-12.859	-4.629	-4.909	-6.027	-5.708	-5.986	-5.688	-6.47	-5.892	-6.657	-5.948	-6.794	-6.026	-6.852	-6.007	-7.467	-6.076	-9.547	-7.873
3.2.04_085	8.787	8.815	~~~	8.733	~~~	-7.738	-9.37	~~~	-9.821	~~~	-10.15	~~~	-3.8	-3.939	-4.823	-4.547	~~~	~~~	-5.134	-4.687	~~~	~~~	-5.362	-4.788	~~~	~~~	-6.183	-5.048	~~~	~~~
3.2.04_090	4.64	4.771	~~~	4.715	~~~	-6.224	-7.427	~~~	-7.753	~~~	-7.99	~~~	-3.086	-3.138	-3.828	-3.599	~~~	~~~	-4.047	-3.706	~~~	~~~	-4.207	-3.784	~~~	~~~	-5.061	-4.145	~~~	~~~
3.2.04_095	2.152	2.32	~~~	2.284	~~~	-4.992	-5.877	~~~	-6.112	~~~	-6.283	~~~	-2.498	-2.494	-3.034	-2.843	~~~	~~~	-3.187	-2.925	~~~	~~~	-3.299	-2.984	~~~	~~~	-4.124	-3.387	~~~	~~~
3.2.04_100	0.722	0.89	0.896	0.87	0.866	-4.009	-4.659	-4.634	-4.827	-4.885	-4.949	-4.946	-2.024	-1.985	-2.41	-2.249	-2.394	-2.24	-2.516	-2.311	-2.558	-2.327	-2.593	-2.356	-2.601	-2.345	-3.357	-2.764	-3.928	-3.217
3.2.04_105	-0.052	0.099	~~~	0.09	~~~	-3.229	-3.707	~~~	-3.825	~~~	-3.911	~~~	-1.645	-1.584	-1.923	-1.784	~~~	~~~	-1.995	-1.831	~~~	~~~	-2.047	-1.864	~~~	~~~	-2.737	-2.26	~~~	~~~
3.2.04_110	-0.43	-0.301	~~~	-0.305	~~~	-2.612	-2.964	~~~	-3.045	~~~	-3.104	~~~	-1.342	-1.27	-1.542	-1.422	~~~	~~~	-1.589	-1.456	~~~	~~~	-1.623	-1.481	~~~	~~~	-2.237	-1.852	~~~	~~~
3.2.04_125	-0.559	-0.496	~~~	-0.495	~~~	-1.423	-1.563	~~~	-1.586	~~~	-1.602	~~~	-0.747	-0.676	-0.822	-0.741	~~~	~~~	-0.831	-0.755	~~~	~~~	-0.838	-0.765	~~~	~~~	-1.246	-1.037	~~~	~~~
3.2.04_150	-0.219	-0.2	~~~	-0.199	~~~	-0.572	-0.603	~~~	-0.603	~~~	-0.603	~~~	-0.308	-0.264	-0.323	-0.28	~~~	~~~	-0.319	-0.284	~~~	~~~	-0.317	-0.286	~~~	~~~	-0.507	-0.426	~~~	~~~
3.2.04_200	0.012	0.014	~~~	0.014	~~~	-0.134	-0.137	~~~	-0.134	~~~	-0.132	~~~	-0.075	-0.058	-0.077	-0.06	~~~	~~~	-0.073	-0.06	~~~	~~~	-0.071	-0.06	~~~	~~~	-0.12	-0.102	~~~	~~~
3.2.05_080	18.265	17.634	17.661	17.448	17.437	-13.706	-17.849	-17.803	-19.485	-20.121	-20.679	-20.788	-5.386	-8.32	-7.932	-9.917	-7.906	-9.896	-9.192	-10.293	-9.712	-10.41	-10.111	-10.568	-10.257	-10.532	-7.836	-6.046	-12.02	-9.711
3.2.05_085	9.212	9.285	~~~	9.143	~~~	-12.648	-15.926	~~~	-17.171	~~~	-18.08	~~~	-5.325	-7.323	-7.318	-8.608	~~~	~~~	-8.271	-8.9	~~~	~~~	-8.967	-9.114	~~~	~~~	-7.746	-6.001	~~~	~~~
3.2.05_090	3.618	4.088	~~~	3.98	~~~	-11.228	-13.808	~~~	-14.754	~~~	-15.445	~~~	-4.936	-6.292	-6.484	-7.324	~~~	~~~	-7.201	-7.554	~~~	~~~	-7.724	-7.721	~~~	~~~	-7.249	-5.638	~~~	~~~
3.2.05_095	0.216	0.875	~~~	0.792	~~~	-9.648	-11.672	~~~	-12.391	~~~	-12.916	~~~	-4.361	-5.287	-5.556	-6.116	~~~	~~~	-6.093	-6.298	~~~	~~~	-6.485	-6.431	~~~	~~~	-6.488	-5.066	~~~	~~~
3.2.05_100	-1.772	-1.047	-1.034	-1.109	-1.109	-8.099	-9.685	-9.663	-10.233	-10.454	-10.633	-10.686	-3.73	-4.369	-4.65	-5.035	-4.638	-5.025	-5.053	-5.18	-5.227	-5.227	-5.347	-5.286	-5.409	-5.277	-5.623	-4.41	-7.077	-5.594
3.2.05_105	-2.84	-2.121	~~~	-2.165	~~~	-6.7	-7.945	~~~	-8.364	~~~	-8.669	~~~	-3.129	-3.571	-3.838	-4.107	~~~	~~~	-4.14	-4.223	~~~	~~~	-4.362	-4.308	~~~	~~~	-4.77	-3.759	~~~	~~~
3.2.05_110	-3.318	-2.645	~~~	-2.674	~~~	-5.498	-6.479	~~~	-6.799	~~~	-7.033	~~~	-2.597	-2.902	-3.144	-3.334	~~~	~~~	-3.372	-3.427	~~~	~~~	-3.538	-3.494	~~~	~~~	-3.993	-3.162	~~~	~~~
3.2.05_125	-3.087	-2.623	~~~	-2.627	~~~	-3.023	-3.508	~~~	-3.646	~~~	-3.747	~~~	-1.466	-1.557	-1.722	-1.786	~~~	~~~	-1.816	-1.83	~~~	~~~	-1.886	-1.861	~~~	~~~	-2.285	-1.836	~~~	~~~
3.2.05_150	-1.706	-1.494	~~~	-1.494	~~~	-1.205	-1.353	~~~	-1.386	~~~	-1.41	~~~	-0.6	-0.605	-0.67	-0.682	~~~	~~~	-0.692	-0.694	~~~	~~~	-0.708	-0.702	~~~	~~~	-0.933	-0.762	~~~	~~~
3.2.05_200	-0.487	-0.423	~~~	-0.425	~~~	-0.269	-0.289	~~~	-0.292	~~~	-0.295	~~~	-0.136	-0.133	-0.143	-0.146	~~~	~~~	-0.145	-0.147	~~~	~~~	-0.147	-0.148	~~~	~~~	-0.199	-0.164	~~~	~~~
3.2.06_080	14.5	14.312	14.328	14.218	14.213	-9.042	-11.218	-11.173	-11.867	-12.122	-12.341	-12.389	-4.213	-4.829	-5.633	-5.585	-5.604	-5.569	-6.104	-5.763	-6.303	-5.819	-6.448	-5.894	-6.512	-5.877	-6.998	-5.595	-9.158	-7.496
3.2.06_085	7.897	7.93	~~~	7.86	~~~	-7.432	-9.03	~~~	-9.496	~~~	-9.835	~~~	-3.52	-3.913	-4.551	-4.479	~~~	~~~	-4.882	-4.613	~~~	~~~	-5.124	-4.711	~~~	~~~	-5.906	-4.743	~~~	~~~
3.2.06_090	3.846	3.979	~~~	3.929	~~~	-6.045	-7.208	~~~	-7.543	~~~	-7.787	~~~	-2.9	-3.145	-3.642	-3.567	~~~	~~~	-3.874	-3.668	~~~	~~~	-4.044	-3.742	~~~	~~~	-4.916	-3.964	~~~	~~~
3.2.06_095	1.448	1.614	~~~	1.583	~~~	-4.896	-5.74	~~~	-5.98	~~~	-6.154	~~~	-2.376	-2.52	-2.906	-2.834	~~~	~~~	-3.069	-2.91	~~~	~~~	-3.188	-2.967	~~~	~~~	-4.064	-3.287	~~~	~~~
3.2.06_100	0.098	0.265	0.269	0.248	0.244	-3.965	-4.575	-4.557	-4.746	-4.807	-4.871	-4.871	-1.945	-2.02	-2.323	-2.253	-2.312	-2.246	-2.436	-2.311	-2.48	-2.327	-2.518	-2.353	-2.527	-2.344	-3.35	-2.718	-3.918	-3.179
3.2.06_105	-0.602	-0.452	~~~	-0.459	~~~	-3.217	-3.659	~~~	-3.779	~~~	-3.867	~~~	-1.594	-1.623	-1.863	-1.796	~~~	~~~	-1.94	-1.84	~~~	~~~	-1.996	-1.871	~~~	~~~	-2.759	-2.244	~~~	~~~
3.2.06_110	-0.913	-0.788	~~~	-0.788	~~~	-2.618	-2.939	~~~	-3.022	~~~	-3.083	~~~	-1.309	-1.309	-1.501	-1.438	~~~	~~~	-1.552	-1.47	~~~	~~~	-1.589	-1.493	~~~	~~~	-2.274	-1.854	~~~	~~~
3.2.06_125	-0.885	-0.827	~~~	-0.822	~~~	-1.445	-1.569	~~~	-1.594	~~~	-1.611	~~~	-0.738	-0.706	-0.809	-0.761	~~~	~~~	-0.821	-0.773	~~~	~~~	-0.829	-0.782	~~~	~~~	-1.286	-1.055	~~~	~~~
3.2.06_150	-0.395	-0.38	~~~	-0.377	~~~	-0.588	-0.615	~~~	-0.616	~~~	-0.617	~~~	-0.307	-0.281	-0.321	-0.294	~~~	~~~	-0.319	-0.297	~~~	~~~	-0.318	-0.299	~~~	~~~	-0.528	-0.436	~~~	~~~
3.2.06_200	-0.054	-0.052	~~~	-0.052	~~~	-0.14	-0.142	~~~	-0.14	~~~	-0.138	~~~	-0.075	-0.065	-0.076	-0.066	~~~	~~~	-0.074	-0.066	~~~	~~~	-0.072	-0.066	~~~	~~~	-0.125	-0.104	~~~	~~~
3.2.07_080	18.362	18.025	18.079	17.747	17.733	-15.167	-21.081	-20.919	-23.206	-24.066	-24.756	-24.968	-5.196	-9.971	-8.906	-12.175	-8.811	-12.108	-10.561	-12.645	-11.267	-12.798	-11.769	-12.988	-12.008	-12.96	-7.964	-6.507	-13.924	-11.805
3.2.07_085	6.918	7.395	~~~	7.168	~~~	-15.021	-19.724	~~~	-21.378	~~~	-22.584	~~~	-5.837	-9.184	-8.757	-10.967	~~~	~~~	-10.041	-11.337	~~~	~~~	-10.977	-11.607	~~~	~~~	-8.81	-7.111	~~~	~~~
3.2.07_090	0.353	1.306	~~~	1.121	~~~	-14.256	-17.98	~~~	-19.266	~~~	-20.204	~~~	-5.985	-8.271	-8.267	-9.714	~~~	~~~	-9.258	-10.008	~~~	~~~	-9.981	-10.223	~~~	~~~	-9.031	-7.231	~~~	~~~
3.2.07_095	-3.252	-2.076	~~~	-2.222	~~~	-12.987	-15.928	~~~	-16.928	~~~	-17.658	~~~	-5.717	-7.27	-7.492	-8.436	~~~	~~~	-8.255	-8.673	~~~	~~~	-8.813	-8.845	~~~	~~~	-8.71	-6.939	~~~	~~~
3.2.07_100	-5.061	-3.829	-3.783	-3.936	-3.932	-11.433	-13.756	-13.664	-14.532	-14.843	-15.099	-15.17	-5.183	-6.25	-6.562	-7.194	-6.51	-7.153	-7.149	-7.384	-7.399	-7.444	-7.577	-7.522	-7.663	-7.507	-8.013	-6.369	-10.18	-8.153
3.2.07_105	-5.79	-4.601	~~~	-4.675	~~~	-9.806	-11.646	~~~	-12.247	~~~	-12.686	~~~	-4.528	-5.278	-5.603	-6.043	~~~	~~~	-6.052	-6.195	~~~	~~~	-6.38	-6.306	~~~	~~~	-7.116	-5.656	~~~	~~~
3.2.07_110	-5.883	-4.792	~~~	-4.837	~~~	-8.259	-9.722	~~~	-10.184	~~~	-10.522	~~~	-3.86	-4.399	-4.703	-5.019	~~~	~~~	-5.044	-5.14	~~~	~~~	-5.293	-5.228	~~~	~~~	-6.162	-4.907	~~~	~~~
