# Interaction energies and their componets, in kcal/mol
# Prefix "corr_" denotes the correlation enegy term only
# Suffixes "_os" and "_ss" denote the other-spin and same-spin components of the correlation energy
"name"	"HF/aDZ"	"HF/aTZ"	"HF/haTZ"	"HF/aQZ"	"HF/a5Z"	"corr_MP2/aDZ"	"corr_MP2/aTZ"	"corr_MP2/haTZ"	"corr_MP2/aQZ"	"corr_MP2/a5Z"	"corr_MP2/CBS(aTQZ)"	"corr_MP2/CBS(aQ5Z)"	"corr_MP2_os/aDZ"	"corr_MP2_ss/aDZ"	"corr_MP2_os/aTZ"	"corr_MP2_ss/aTZ"	"corr_MP2_os/haTZ"	"corr_MP2_ss/haTZ"	"corr_MP2_os/aQZ"	"corr_MP2_ss/aQZ"	"corr_MP2_os/a5Z"	"corr_MP2_ss/a5Z"	"corr_MP2_os/CBS(aTQZ)"	"corr_MP2_ss/CBS(aTQZ)"	"corr_MP2_os/CBS(aQ5Z)"	"corr_MP2_ss/CBS(aQ5Z)"	"corr_CCSD(T)/aDZ"	"corr_CCSD/aDZ"	"corr_CCSD_os/aDZ"	"corr_CCSD_ss/aDZ"	"corr_CCSD(T)/haTZ"	"corr_CCSD/haTZ"	"corr_CCSD_os/haTZ"	"corr_CCSD_ss/haTZ"	"BLYP/def2-QZVP"	"B3LYP/def2-QZVP"	"BHLYP/def2-QZVP"	"BP/def2-QZVP"	"PBE/def2-QZVP"	"PBE0/def2-QZVP"	"TPSS/def2-QZVP"
03.007_trimethylammonium--acetonitrile_0.80	-8.463	-8.973	-8.963	-8.982	-9.000	-5.697	-6.763	-6.705	-7.191	-7.342	-7.503	-7.501	-1.826	-3.871	-2.598	-4.165	-2.557	-4.149	-2.953	-4.238	-3.088	-4.254	-3.212	-4.291	-3.229	-4.272	-4.258	-3.372	0.340	-3.712	-5.511	-4.470	-0.539	-3.931	-13.414	-14.085	-14.327	-14.978	-16.325	-16.012	-14.559
03.007_trimethylammonium--acetonitrile_0.85	-13.040	-13.491	~~~	-13.490	~~~	-4.966	-5.829	~~~	-6.183	~~~	-6.442	~~~	-1.609	-3.357	-2.230	-3.599	~~~	~~~	-2.524	-3.659	~~~	~~~	-2.739	-3.703	~~~	~~~	-3.773	-2.972	0.271	-3.243	~~~	~~~	~~~	~~~	-17.202	-17.793	-18.050	-18.437	-19.719	-19.403	-18.303
03.007_trimethylammonium--acetonitrile_0.90	-16.044	-16.438	~~~	-16.431	~~~	-4.295	-4.991	~~~	-5.283	~~~	-5.497	~~~	-1.395	-2.900	-1.893	-3.098	~~~	~~~	-2.136	-3.147	~~~	~~~	-2.313	-3.184	~~~	~~~	-3.313	-2.594	0.231	-2.824	~~~	~~~	~~~	~~~	-19.513	-20.031	-20.296	-20.455	-21.683	-21.363	-20.518
03.007_trimethylammonium--acetonitrile_0.95	-17.908	-18.247	~~~	-18.240	~~~	-3.690	-4.250	~~~	-4.489	~~~	-4.663	~~~	-1.193	-2.497	-1.591	-2.658	~~~	~~~	-1.790	-2.699	~~~	~~~	-1.935	-2.728	~~~	~~~	-2.887	-2.245	0.209	-2.454	~~~	~~~	~~~	~~~	-20.773	-21.225	-21.494	-21.460	-22.643	-22.322	-21.652
03.007_trimethylammonium--acetonitrile_1.00	-18.954	-19.238	-19.228	-19.233	-19.238	-3.153	-3.600	-3.563	-3.794	-3.863	-3.936	-3.934	-1.007	-2.146	-1.324	-2.276	-1.299	-2.264	-1.486	-2.309	-1.547	-2.316	-1.604	-2.332	-1.611	-2.324	-2.498	-1.929	0.201	-2.130	-3.030	-2.388	-0.173	-2.215	-21.293	-21.687	-21.955	-21.762	-22.907	-22.587	-22.033
03.007_trimethylammonium--acetonitrile_1.05	-19.415	-19.647	~~~	-19.647	~~~	-2.682	-3.035	~~~	-3.192	~~~	-3.307	~~~	-0.840	-1.842	-1.089	-1.946	~~~	~~~	-1.221	-1.972	~~~	~~~	-1.316	-1.990	~~~	~~~	-2.146	-1.646	0.201	-1.847	~~~	~~~	~~~	~~~	-21.300	-21.643	-21.906	-21.586	-22.698	-22.381	-21.901
03.007_trimethylammonium--acetonitrile_1.10	-19.466	-19.651	~~~	-19.654	~~~	-2.270	-2.547	~~~	-2.673	~~~	-2.765	~~~	-0.691	-1.580	-0.885	-1.661	~~~	~~~	-0.991	-1.682	~~~	~~~	-1.069	-1.696	~~~	~~~	-1.831	-1.392	0.208	-1.600	~~~	~~~	~~~	~~~	-20.960	-21.259	-21.513	-21.095	-22.178	-21.867	-21.437
03.007_trimethylammonium--acetonitrile_1.25	-18.265	-18.347	~~~	-18.353	~~~	-1.335	-1.454	~~~	-1.520	~~~	-1.567	~~~	-0.340	-0.995	-0.424	-1.030	~~~	~~~	-0.480	-1.040	~~~	~~~	-0.520	-1.047	~~~	~~~	-1.077	-0.791	0.252	-1.043	~~~	~~~	~~~	~~~	-18.902	-19.103	-19.323	-18.743	-19.737	-19.462	-19.118
03.007_trimethylammonium--acetonitrile_1.50	-14.999	-15.016	~~~	-15.018	~~~	-0.451	-0.463	~~~	-0.488	~~~	-0.507	~~~	0.010	-0.461	0.000	-0.463	~~~	~~~	-0.023	-0.465	~~~	~~~	-0.039	-0.467	~~~	~~~	-0.303	-0.178	0.342	-0.521	~~~	~~~	~~~	~~~	-14.928	-15.050	-15.210	-14.632	-15.428	-15.247	-15.048
03.007_trimethylammonium--acetonitrile_2.00	-10.026	-10.009	-10.006	-10.005	-10.005	0.163	0.174	0.175	0.162	0.157	0.153	0.152	0.255	-0.092	0.259	-0.085	0.259	-0.084	0.247	-0.085	0.242	-0.085	0.238	-0.086	0.237	-0.085	0.261	0.266	0.418	-0.153	0.257	0.252	0.392	-0.140	-9.637	-9.719	-9.823	-9.490	-9.806	-9.793	-9.718
03.008_trimethylammonium--ammonia_0.80	-6.267	-6.676	-6.666	-6.710	-6.727	-5.894	-7.389	-7.314	-7.937	-8.131	-8.336	-8.335	-1.871	-4.024	-2.941	-4.448	-2.889	-4.425	-3.397	-4.539	-3.570	-4.561	-3.731	-4.606	-3.752	-4.584	-4.601	-3.766	0.088	-3.854	-6.264	-5.214	-1.041	-4.173	-11.343	-12.358	-12.777	-13.586	-15.061	-15.073	-12.982
03.008_trimethylammonium--ammonia_0.85	-10.585	-10.915	~~~	-10.934	~~~	-5.353	-6.600	~~~	-7.064	~~~	-7.403	~~~	-1.784	-3.570	-2.670	-3.930	~~~	~~~	-3.057	-4.008	~~~	~~~	-3.339	-4.064	~~~	~~~	-4.277	-3.492	-0.068	-3.423	~~~	~~~	~~~	~~~	-15.154	-15.997	-16.324	-17.049	-18.437	-18.336	-16.743
03.008_trimethylammonium--ammonia_0.90	-13.425	-13.691	~~~	-13.698	~~~	-4.816	-5.856	~~~	-6.248	~~~	-6.534	~~~	-1.667	-3.149	-2.400	-3.455	~~~	~~~	-2.727	-3.521	~~~	~~~	-2.966	-3.568	~~~	~~~	-3.932	-3.201	-0.175	-3.026	~~~	~~~	~~~	~~~	-17.517	-18.210	-18.464	-19.092	-20.408	-20.211	-19.007
03.008_trimethylammonium--ammonia_0.95	-15.188	-15.405	~~~	-15.405	~~~	-4.300	-5.167	~~~	-5.497	~~~	-5.737	~~~	-1.535	-2.765	-2.142	-3.026	~~~	~~~	-2.416	-3.080	~~~	~~~	-2.617	-3.120	~~~	~~~	-3.582	-2.909	-0.245	-2.664	~~~	~~~	~~~	~~~	-18.840	-19.404	-19.598	-20.127	-21.382	-21.106	-20.198
03.008_trimethylammonium--ammonia_1.00	-16.170	-16.349	-16.334	-16.346	-16.353	-3.817	-4.540	-4.485	-4.814	-4.908	-5.015	-5.007	-1.398	-2.419	-1.899	-2.640	-1.862	-2.623	-2.129	-2.686	-2.212	-2.697	-2.296	-2.719	-2.299	-2.708	-3.240	-2.625	-0.287	-2.338	-4.026	-3.285	-0.791	-2.494	-19.421	-19.875	-20.021	-20.452	-21.655	-21.318	-20.628
03.008_trimethylammonium--ammonia_1.05	-16.594	-16.740	~~~	-16.738	~~~	-3.374	-3.974	~~~	-4.202	~~~	-4.368	~~~	-1.263	-2.111	-1.676	-2.298	~~~	~~~	-1.866	-2.336	~~~	~~~	-2.005	-2.363	~~~	~~~	-2.914	-2.356	-0.310	-2.046	~~~	~~~	~~~	~~~	-19.480	-19.840	-19.946	-20.285	-21.446	-21.061	-20.526
03.008_trimethylammonium--ammonia_1.10	-16.624	-16.741	~~~	-16.742	~~~	-2.973	-3.469	~~~	-3.657	~~~	-3.794	~~~	-1.134	-1.839	-1.473	-1.996	~~~	~~~	-1.630	-2.027	~~~	~~~	-1.745	-2.049	~~~	~~~	-2.609	-2.106	-0.320	-1.786	~~~	~~~	~~~	~~~	-19.177	-19.458	-19.531	-19.786	-20.911	-20.491	-20.067
03.008_trimethylammonium--ammonia_1.25	-15.418	-15.462	~~~	-15.464	~~~	-2.016	-2.277	~~~	-2.381	~~~	-2.457	~~~	-0.805	-1.210	-0.980	-1.297	~~~	~~~	-1.067	-1.314	~~~	~~~	-1.131	-1.326	~~~	~~~	-1.836	-1.481	-0.300	-1.180	~~~	~~~	~~~	~~~	-17.142	-17.256	-17.262	-17.316	-18.356	-17.889	-17.638
03.008_trimethylammonium--ammonia_1.50	-12.174	-12.160	~~~	-12.158	~~~	-1.029	-1.087	~~~	-1.128	~~~	-1.159	~~~	-0.427	-0.601	-0.462	-0.624	~~~	~~~	-0.498	-0.630	~~~	~~~	-0.524	-0.634	~~~	~~~	-0.950	-0.770	-0.190	-0.580	~~~	~~~	~~~	~~~	-13.013	-13.001	-12.963	-12.843	-13.738	-13.317	-13.194
03.008_trimethylammonium--ammonia_2.00	-7.315	-7.295	-7.295	-7.289	-7.291	-0.198	-0.192	-0.177	-0.210	-0.214	-0.222	-0.218	-0.055	-0.143	-0.050	-0.142	-0.042	-0.136	-0.066	-0.144	-0.070	-0.144	-0.077	-0.145	-0.073	-0.144	-0.125	-0.104	0.023	-0.126	-0.108	-0.084	0.034	-0.118	-7.424	-7.404	-7.395	-7.225	-7.712	-7.526	-7.526
03.009_trimethylammonium--dimethylamine_0.80	-6.155	-6.503	-6.499	-6.572	-6.592	-9.447	-11.560	-11.441	-12.268	-12.528	-12.785	-12.801	-3.429	-6.018	-4.953	-6.606	-4.876	-6.565	-5.543	-6.726	-5.773	-6.755	-5.973	-6.812	-6.014	-6.787	-7.474	-6.230	-0.643	-5.588	-9.777	-8.243	-2.228	-6.015	-10.978	-12.822	-13.990	-13.933	-16.095	-16.577	-12.927
03.009_trimethylammonium--dimethylamine_0.85	-11.089	-11.349	~~~	-11.405	~~~	-8.882	-10.673	~~~	-11.277	~~~	-11.718	~~~	-3.377	-5.505	-4.663	-6.010	~~~	~~~	-5.165	-6.112	~~~	~~~	-5.531	-6.186	~~~	~~~	-7.145	-5.942	-0.852	-5.090	~~~	~~~	~~~	~~~	-15.622	-17.181	-18.111	-18.185	-20.246	-20.512	-17.572
03.009_trimethylammonium--dimethylamine_0.90	-14.366	-14.554	~~~	-14.597	~~~	-8.273	-9.793	~~~	-10.308	~~~	-10.684	~~~	-3.266	-5.007	-4.351	-5.442	~~~	~~~	-4.779	-5.529	~~~	~~~	-5.092	-5.592	~~~	~~~	-6.766	-5.612	-0.996	-4.616	~~~	~~~	~~~	~~~	-18.600	-19.904	-20.634	-20.795	-22.753	-22.834	-20.498
03.009_trimethylammonium--dimethylamine_0.95	-16.443	-16.574	~~~	-16.602	~~~	-7.647	-8.936	~~~	-9.375	~~~	-9.695	~~~	-3.115	-4.532	-4.030	-4.906	~~~	~~~	-4.394	-4.981	~~~	~~~	-4.660	-5.035	~~~	~~~	-6.354	-5.258	-1.087	-4.171	~~~	~~~	~~~	~~~	-20.378	-21.457	-22.018	-22.235	-24.091	-24.013	-22.175
03.009_trimethylammonium--dimethylamine_1.00	-17.644	-17.733	-17.721	-17.750	-17.759	-7.023	-8.118	-8.040	-8.490	-8.625	-8.761	-8.766	-2.937	-4.086	-3.710	-4.408	-3.661	-4.379	-4.019	-4.471	-4.137	-4.487	-4.244	-4.517	-4.262	-4.504	-5.928	-4.893	-1.137	-3.756	-7.094	-5.870	-1.897	-3.972	-21.286	-22.170	-22.589	-22.841	-24.601	-24.391	-22.959
03.009_trimethylammonium--dimethylamine_1.05	-18.209	-18.267	~~~	-18.276	~~~	-6.418	-7.348	~~~	-7.662	~~~	-7.891	~~~	-2.746	-3.672	-3.399	-3.950	~~~	~~~	-3.660	-4.002	~~~	~~~	-3.850	-4.041	~~~	~~~	-5.499	-4.530	-1.156	-3.374	~~~	~~~	~~~	~~~	-21.563	-22.279	-22.583	-22.852	-24.525	-24.209	-23.105
03.009_trimethylammonium--dimethylamine_1.10	-18.319	-18.353	~~~	-18.358	~~~	-5.842	-6.632	~~~	-6.896	~~~	-7.088	~~~	-2.550	-3.292	-3.102	-3.530	~~~	~~~	-3.321	-3.575	~~~	~~~	-3.481	-3.607	~~~	~~~	-5.079	-4.177	-1.153	-3.024	~~~	~~~	~~~	~~~	-21.391	-21.964	-22.175	-22.448	-24.040	-23.639	-22.789
03.009_trimethylammonium--dimethylamine_1.25	-17.104	-17.082	~~~	-17.086	~~~	-4.350	-4.821	~~~	-4.976	~~~	-5.088	~~~	-1.997	-2.353	-2.321	-2.499	~~~	~~~	-2.450	-2.525	~~~	~~~	-2.544	-2.544	~~~	~~~	-3.930	-3.226	-1.065	-2.161	~~~	~~~	~~~	~~~	-19.428	-19.680	-19.699	-19.934	-21.304	-20.748	-20.340
03.009_trimethylammonium--dimethylamine_1.50	-13.493	-13.429	~~~	-13.427	~~~	-2.620	-2.789	~~~	-2.854	~~~	-2.902	~~~	-1.281	-1.339	-1.396	-1.394	~~~	~~~	-1.450	-1.404	~~~	~~~	-1.490	-1.412	~~~	~~~	-2.464	-2.033	-0.817	-1.217	~~~	~~~	~~~	~~~	-14.869	-14.843	-14.734	-14.875	-15.961	-15.360	-15.218
03.009_trimethylammonium--dimethylamine_2.00	-7.860	-7.807	-7.810	-7.799	-7.799	-0.929	-0.949	-0.932	-0.969	-0.976	-0.984	-0.983	-0.482	-0.446	-0.496	-0.453	-0.486	-0.446	-0.513	-0.456	-0.519	-0.457	-0.526	-0.458	-0.526	-0.458	-0.847	-0.722	-0.347	-0.375	-0.836	-0.699	-0.331	-0.368	-8.231	-8.111	-8.039	-8.001	-8.646	-8.273	-8.297
03.010_trimethylammonium--dimethyldiazene_0.80	0.448	0.057	0.074	0.008	-0.008	-9.417	-11.082	-10.953	-11.652	-11.854	-12.068	-12.066	-3.851	-5.566	-5.032	-6.050	-4.949	-6.004	-5.500	-6.153	-5.677	-6.177	-5.841	-6.228	-5.863	-6.202	-8.113	-6.693	-1.442	-5.251	-9.888	-8.214	-2.620	-5.594	-5.700	-6.804	-7.287	-8.379	-10.376	-10.015	-7.889
03.010_trimethylammonium--dimethyldiazene_0.85	-4.165	-4.500	~~~	-4.533	~~~	-8.630	-10.013	~~~	-10.489	~~~	-10.837	~~~	-3.636	-4.995	-4.609	-5.405	~~~	~~~	-4.998	-5.491	~~~	~~~	-5.282	-5.554	~~~	~~~	-7.555	-6.217	-1.509	-4.708	~~~	~~~	~~~	~~~	-9.746	-10.633	-10.980	-12.007	-13.925	-13.430	-11.836
03.010_trimethylammonium--dimethyldiazene_0.90	-7.275	-7.564	~~~	-7.583	~~~	-7.872	-9.016	~~~	-9.412	~~~	-9.701	~~~	-3.401	-4.471	-4.199	-4.817	~~~	~~~	-4.522	-4.890	~~~	~~~	-4.758	-4.942	~~~	~~~	-7.003	-5.749	-1.533	-4.216	~~~	~~~	~~~	~~~	-12.354	-13.043	-13.269	-14.236	-16.073	-15.458	-14.274
03.010_trimethylammonium--dimethyldiazene_0.95	-9.289	-9.538	~~~	-9.549	~~~	-7.157	-8.100	~~~	-8.427	~~~	-8.665	~~~	-3.162	-3.996	-3.814	-4.287	~~~	~~~	-4.080	-4.347	~~~	~~~	-4.274	-4.391	~~~	~~~	-6.471	-5.300	-1.528	-3.772	~~~	~~~	~~~	~~~	-13.925	-14.438	-14.555	-15.470	-17.229	-16.509	-15.638
03.010_trimethylammonium--dimethyldiazene_1.00	-10.509	-10.722	-10.703	-10.729	-10.733	-6.496	-7.268	-7.179	-7.536	-7.630	-7.731	-7.728	-2.927	-3.569	-3.456	-3.813	-3.400	-3.779	-3.673	-3.863	-3.755	-3.875	-3.832	-3.899	-3.841	-3.887	-5.966	-4.877	-1.502	-3.375	-6.734	-5.496	-1.973	-3.523	-14.748	-15.106	-15.127	-16.001	-17.694	-16.886	-16.266
03.010_trimethylammonium--dimethyldiazene_1.05	-11.156	-11.336	~~~	-11.342	~~~	-5.890	-6.519	~~~	-6.737	~~~	-6.896	~~~	-2.702	-3.188	-3.128	-3.391	~~~	~~~	-3.305	-3.432	~~~	~~~	-3.434	-3.462	~~~	~~~	-5.491	-4.481	-1.461	-3.020	~~~	~~~	~~~	~~~	-15.039	-15.262	-15.199	-16.045	-17.681	-16.801	-16.380
03.010_trimethylammonium--dimethyldiazene_1.10	-11.398	-11.547	~~~	-11.554	~~~	-5.339	-5.847	~~~	-6.023	~~~	-6.152	~~~	-2.490	-2.850	-2.830	-3.017	~~~	~~~	-2.972	-3.051	~~~	~~~	-3.076	-3.076	~~~	~~~	-5.047	-4.113	-1.410	-2.703	~~~	~~~	~~~	~~~	-14.966	-15.071	-14.935	-15.758	-17.338	-16.400	-16.126
03.010_trimethylammonium--dimethyldiazene_1.25	-10.757	-10.830	~~~	-10.833	~~~	-3.980	-4.235	~~~	-4.326	~~~	-4.392	~~~	-1.933	-2.047	-2.096	-2.139	~~~	~~~	-2.168	-2.158	~~~	~~~	-2.221	-2.171	~~~	~~~	-3.892	-3.164	-1.217	-1.947	~~~	~~~	~~~	~~~	-13.586	-13.418	-13.113	-13.891	-15.308	-14.262	-14.241
03.010_trimethylammonium--dimethyldiazene_1.50	-8.274	-8.285	~~~	-8.283	~~~	-2.466	-2.525	~~~	-2.552	~~~	-2.573	~~~	-1.254	-1.212	-1.283	-1.242	~~~	~~~	-1.304	-1.249	~~~	~~~	-1.319	-1.254	~~~	~~~	-2.483	-2.018	-0.871	-1.147	~~~	~~~	~~~	~~~	-10.279	-9.885	-9.466	-10.177	-11.351	-10.312	-10.514
03.010_trimethylammonium--dimethyldiazene_2.00	-4.438	-4.441	-4.437	-4.436	-4.436	-0.992	-0.979	-0.964	-0.983	-0.983	-0.986	-0.984	-0.525	-0.468	-0.508	-0.470	-0.500	-0.464	-0.511	-0.472	-0.511	-0.472	-0.512	-0.473	-0.511	-0.473	-0.978	-0.802	-0.377	-0.425	-0.915	-0.730	-0.322	-0.407	-5.467	-5.092	-4.779	-5.226	-5.911	-5.227	-5.536
03.011_trimethylammonium--methylamine_0.80	-6.471	-6.842	-6.832	-6.894	-6.912	-7.673	-9.466	-9.368	-10.092	-10.318	-10.549	-10.555	-2.637	-5.035	-3.929	-5.537	-3.864	-5.504	-4.450	-5.642	-4.651	-5.668	-4.831	-5.718	-4.861	-5.694	-6.049	-4.994	-0.246	-4.748	-8.020	-6.713	-1.599	-5.114	-11.660	-12.998	-13.697	-14.207	-16.060	-16.200	-13.407
03.011_trimethylammonium--methylamine_0.85	-11.120	-11.408	~~~	-11.446	~~~	-7.116	-8.624	~~~	-9.156	~~~	-9.545	~~~	-2.569	-4.548	-3.648	-4.976	~~~	~~~	-4.091	-5.065	~~~	~~~	-4.415	-5.130	~~~	~~~	-5.723	-4.715	-0.434	-4.281	~~~	~~~	~~~	~~~	-15.904	-17.015	-17.552	-18.085	-19.838	-19.817	-17.637
03.011_trimethylammonium--methylamine_0.90	-14.201	-14.420	~~~	-14.444	~~~	-6.539	-7.806	~~~	-8.259	~~~	-8.589	~~~	-2.455	-4.084	-3.357	-4.450	~~~	~~~	-3.733	-4.526	~~~	~~~	-4.008	-4.581	~~~	~~~	-5.359	-4.404	-0.563	-3.841	~~~	~~~	~~~	~~~	-18.587	-19.498	-19.901	-20.426	-22.084	-21.925	-20.245
03.011_trimethylammonium--methylamine_0.95	-16.138	-16.304	~~~	-16.316	~~~	-5.962	-7.029	~~~	-7.411	~~~	-7.690	~~~	-2.312	-3.650	-3.066	-3.963	~~~	~~~	-3.384	-4.027	~~~	~~~	-3.616	-4.074	~~~	~~~	-4.976	-4.079	-0.646	-3.434	~~~	~~~	~~~	~~~	-20.143	-20.879	-21.172	-21.671	-23.241	-22.969	-21.687
03.011_trimethylammonium--methylamine_1.00	-17.241	-17.368	-17.351	-17.372	-17.380	-5.405	-6.302	-6.234	-6.624	-6.736	-6.858	-6.855	-2.154	-3.251	-2.784	-3.518	-2.740	-3.494	-3.052	-3.572	-3.151	-3.585	-3.247	-3.611	-3.255	-3.599	-4.588	-3.753	-0.694	-3.059	-5.549	-4.558	-1.319	-3.239	-20.883	-21.470	-21.674	-22.136	-23.629	-23.265	-22.297
03.011_trimethylammonium--methylamine_1.05	-17.742	-17.838	~~~	-17.839	~~~	-4.877	-5.631	~~~	-5.900	~~~	-6.096	~~~	-1.990	-2.887	-2.516	-3.115	~~~	~~~	-2.740	-3.160	~~~	~~~	-2.904	-3.193	~~~	~~~	-4.207	-3.435	-0.716	-2.719	~~~	~~~	~~~	~~~	-21.043	-21.503	-21.635	-22.053	-23.479	-23.041	-22.314
03.011_trimethylammonium--methylamine_1.10	-17.814	-17.884	~~~	-17.885	~~~	-4.386	-5.019	~~~	-5.243	~~~	-5.406	~~~	-1.828	-2.558	-2.266	-2.753	~~~	~~~	-2.453	-2.790	~~~	~~~	-2.589	-2.817	~~~	~~~	-3.842	-3.132	-0.721	-2.411	~~~	~~~	~~~	~~~	-20.798	-21.150	-21.223	-21.594	-22.958	-22.464	-21.914
03.011_trimethylammonium--methylamine_1.25	-16.592	-16.600	~~~	-16.603	~~~	-3.160	-3.518	~~~	-3.645	~~~	-3.737	~~~	-1.389	-1.772	-1.632	-1.885	~~~	~~~	-1.739	-1.906	~~~	~~~	-1.816	-1.921	~~~	~~~	-2.875	-2.341	-0.672	-1.670	~~~	~~~	~~~	~~~	-18.764	-18.879	-18.833	-19.068	-20.274	-19.687	-19.428
03.011_trimethylammonium--methylamine_1.50	-13.119	-13.080	~~~	-13.077	~~~	-1.812	-1.917	~~~	-1.968	~~~	-2.004	~~~	-0.850	-0.962	-0.918	-0.999	~~~	~~~	-0.961	-1.006	~~~	~~~	-0.992	-1.012	~~~	~~~	-1.698	-1.392	-0.499	-0.894	~~~	~~~	~~~	~~~	-14.337	-14.264	-14.147	-14.221	-15.216	-14.644	-14.557
03.011_trimethylammonium--methylamine_2.00	-7.784	-7.749	-7.746	-7.742	-7.742	-0.569	-0.568	-0.551	-0.584	-0.589	-0.596	-0.594	-0.274	-0.294	-0.273	-0.296	-0.263	-0.288	-0.287	-0.297	-0.291	-0.298	-0.298	-0.299	-0.296	-0.298	-0.486	-0.411	-0.163	-0.248	-0.460	-0.380	-0.142	-0.238	-8.080	-7.981	-7.915	-7.837	-8.417	-8.103	-8.143
03.012_trimethylammonium--methylazide_0.80	-1.646	-2.113	-2.095	-2.156	-2.171	-5.600	-6.783	-6.707	-7.236	-7.393	-7.568	-7.557	-1.784	-3.815	-2.628	-4.155	-2.576	-4.132	-3.001	-4.235	-3.139	-4.254	-3.274	-4.294	-3.283	-4.274	-4.610	-4.162	-0.498	-3.664	-5.863	-5.228	-1.317	-3.911	-3.621	-5.141	-6.506	-5.387	-7.015	-7.610	-5.267
03.012_trimethylammonium--methylazide_0.85	-5.899	-6.312	~~~	-6.343	~~~	-4.857	-5.811	~~~	-6.186	~~~	-6.460	~~~	-1.578	-3.279	-2.253	-3.558	~~~	~~~	-2.561	-3.625	~~~	~~~	-2.787	-3.673	~~~	~~~	-4.070	-3.695	-0.528	-3.167	~~~	~~~	~~~	~~~	-7.241	-8.642	-9.957	-8.654	-10.185	-10.748	-8.818
03.012_trimethylammonium--methylazide_0.90	-8.706	-9.074	~~~	-9.093	~~~	-4.170	-4.936	~~~	-5.244	~~~	-5.469	~~~	-1.370	-2.800	-1.908	-3.028	~~~	~~~	-2.162	-3.083	~~~	~~~	-2.347	-3.123	~~~	~~~	-3.561	-3.255	-0.532	-2.724	~~~	~~~	~~~	~~~	-9.523	-10.807	-12.064	-10.625	-12.069	-12.591	-10.982
03.012_trimethylammonium--methylazide_0.95	-10.471	-10.797	~~~	-10.809	~~~	-3.547	-4.159	~~~	-4.410	~~~	-4.593	~~~	-1.170	-2.376	-1.597	-2.562	~~~	~~~	-1.803	-2.607	~~~	~~~	-1.954	-2.639	~~~	~~~	-3.091	-2.848	-0.516	-2.332	~~~	~~~	~~~	~~~	-10.853	-12.024	-13.220	-11.683	-13.052	-13.529	-12.162
03.012_trimethylammonium--methylazide_1.00	-11.488	-11.776	-11.757	-11.785	-11.790	-2.990	-3.475	-3.427	-3.678	-3.747	-3.825	-3.820	-0.984	-2.006	-1.319	-2.156	-1.288	-2.139	-1.486	-2.191	-1.547	-2.200	-1.608	-2.217	-1.611	-2.209	-2.660	-2.477	-0.488	-1.989	-3.148	-2.868	-0.779	-2.090	-11.512	-12.578	-13.711	-12.109	-13.410	-13.844	-12.655
03.012_trimethylammonium--methylazide_1.05	-11.975	-12.226	~~~	-12.235	~~~	-2.498	-2.879	~~~	-3.041	~~~	-3.159	~~~	-0.814	-1.684	-1.075	-1.804	~~~	~~~	-1.209	-1.832	~~~	~~~	-1.306	-1.853	~~~	~~~	-2.270	-2.140	-0.452	-1.689	~~~	~~~	~~~	~~~	-11.701	-12.672	-13.743	-12.102	-13.344	-13.739	-12.681
03.012_trimethylammonium--methylazide_1.10	-12.092	-12.309	~~~	-12.318	~~~	-2.067	-2.362	~~~	-2.491	~~~	-2.585	~~~	-0.660	-1.407	-0.861	-1.501	~~~	~~~	-0.968	-1.523	~~~	~~~	-1.046	-1.539	~~~	~~~	-1.919	-1.838	-0.410	-1.428	~~~	~~~	~~~	~~~	-11.571	-12.456	-13.466	-11.811	-12.999	-13.359	-12.402
03.012_trimethylammonium--methylazide_1.25	-11.244	-11.370	~~~	-11.377	~~~	-1.089	-1.207	~~~	-1.270	~~~	-1.317	~~~	-0.298	-0.790	-0.377	-0.830	~~~	~~~	-0.430	-0.841	~~~	~~~	-0.468	-0.848	~~~	~~~	-1.081	-1.117	-0.275	-0.842	~~~	~~~	~~~	~~~	-10.215	-10.897	-11.740	-10.133	-11.180	-11.465	-10.707
03.012_trimethylammonium--methylazide_1.50	-8.720	-8.771	~~~	-8.772	~~~	-0.191	-0.182	~~~	-0.202	~~~	-0.216	~~~	0.052	-0.243	0.059	-0.241	~~~	~~~	0.042	-0.244	~~~	~~~	0.030	-0.246	~~~	~~~	-0.240	-0.383	-0.079	-0.304	~~~	~~~	~~~	~~~	-7.388	-7.863	-8.491	-7.131	-7.944	-8.184	-7.679
03.012_trimethylammonium--methylazide_2.00	-5.053	-5.081	-5.076	-5.079	-5.080	0.367	0.402	0.408	0.395	0.394	0.390	0.392	0.272	0.095	0.295	0.107	0.298	0.110	0.288	0.107	0.287	0.107	0.284	0.106	0.285	0.107	0.335	0.153	0.112	0.042	0.374	0.190	0.139	0.051	-3.898	-4.194	-4.585	-3.762	-4.090	-4.337	-4.095
03.013_trimethylammonium--trimethylamine_0.80	-5.584	-5.901	-5.900	-5.989	-6.011	-11.034	-13.470	-13.338	-14.262	-14.557	-14.839	-14.866	-4.139	-6.895	-5.898	-7.572	-5.813	-7.525	-6.556	-7.706	-6.817	-7.740	-7.036	-7.803	-7.091	-7.776	-8.696	-7.316	-1.008	-6.308	-11.347	-9.640	-2.833	-6.807	-9.642	-12.104	-13.883	-13.082	-15.475	-16.450	-11.902
