# Interaction energies and their componets, in kcal/mol
# Prefix "corr_" denotes the correlation enegy term only
# Suffixes "_os" and "_ss" denote the other-spin and same-spin components of the correlation energy
"name"	"HF/aDZ"	"HF/aTZ"	"HF/haTZ"	"HF/aQZ"	"HF/a5Z"	"corr_MP2/aDZ"	"corr_MP2/aTZ"	"corr_MP2/haTZ"	"corr_MP2/aQZ"	"corr_MP2/a5Z"	"corr_MP2/CBS(aTQZ)"	"corr_MP2/CBS(aQ5Z)"	"corr_MP2_os/aDZ"	"corr_MP2_ss/aDZ"	"corr_MP2_os/aTZ"	"corr_MP2_ss/aTZ"	"corr_MP2_os/haTZ"	"corr_MP2_ss/haTZ"	"corr_MP2_os/aQZ"	"corr_MP2_ss/aQZ"	"corr_MP2_os/a5Z"	"corr_MP2_ss/a5Z"	"corr_MP2_os/CBS(aTQZ)"	"corr_MP2_ss/CBS(aTQZ)"	"corr_MP2_os/CBS(aQ5Z)"	"corr_MP2_ss/CBS(aQ5Z)"	"corr_CCSD(T)/aDZ"	"corr_CCSD/aDZ"	"corr_CCSD_os/aDZ"	"corr_CCSD_ss/aDZ"	"corr_CCSD(T)/haTZ"	"corr_CCSD/haTZ"	"corr_CCSD_os/haTZ"	"corr_CCSD_ss/haTZ"	"B3LYP/def2-QZVP"	"BLYP/def2-QZVP"	"BHLYP/def2-QZVP"	"BP/def2-QZVP"	"PBE/def2-QZVP"	"PBE0/def2-QZVP"	"TPSS/def2-QZVP"
1.022_methanol--furan_0.95	-0.159	-0.090	~~~	-0.135	~~~	-3.128	-3.635	~~~	-3.795	~~~	-3.912	~~~	-1.365	-1.763	-1.690	-1.946	~~~	~~~	-1.811	-1.984	~~~	~~~	-1.900	-2.012	~~~	~~~	-2.985	-2.494	-0.807	-1.687	~~~	~~~	~~~	~~~	-1.089	-0.263	-1.986	-0.453	-1.887	-1.995	-0.963
1.022_methanol--furan_1.00	-0.863	-0.783	-0.783	-0.819	-0.820	-2.662	-3.072	-3.015	-3.198	-3.245	-3.291	-3.293	-1.171	-1.490	-1.432	-1.639	-1.399	-1.616	-1.528	-1.670	-1.566	-1.679	-1.598	-1.693	-1.606	-1.688	-2.559	-2.140	-0.711	-1.428	-2.924	-2.438	-0.917	-1.521	-1.494	-0.777	-2.283	-0.807	-2.221	-2.280	-1.374
1.022_methanol--furan_1.05	-1.263	-1.182	~~~	-1.208	~~~	-2.267	-2.598	~~~	-2.699	~~~	-2.773	~~~	-1.005	-1.262	-1.214	-1.384	~~~	~~~	-1.291	-1.409	~~~	~~~	-1.346	-1.427	~~~	~~~	-2.191	-1.834	-0.624	-1.210	~~~	~~~	~~~	~~~	-1.664	-1.043	-2.353	-0.957	-2.337	-2.358	-1.580
1.022_methanol--furan_1.10	-1.463	-1.385	~~~	-1.404	~~~	-1.932	-2.201	~~~	-2.281	~~~	-2.340	~~~	-0.861	-1.071	-1.031	-1.170	~~~	~~~	-1.091	-1.190	~~~	~~~	-1.135	-1.205	~~~	~~~	-1.875	-1.570	-0.544	-1.026	~~~	~~~	~~~	~~~	-1.688	-1.149	-2.287	-0.985	-2.322	-2.314	-1.662
1.022_methanol--furan_1.25	-1.467	-1.415	~~~	-1.420	~~~	-1.202	-1.349	~~~	-1.391	~~~	-1.422	~~~	-0.540	-0.661	-0.632	-0.717	~~~	~~~	-0.664	-0.727	~~~	~~~	-0.687	-0.735	~~~	~~~	-1.170	-0.984	-0.352	-0.632	~~~	~~~	~~~	~~~	-1.400	-1.045	-1.782	-0.791	-1.932	-1.881	-1.551
1.022_methanol--furan_1.50	-1.010	-0.986	~~~	-0.984	~~~	-0.554	-0.616	~~~	-0.633	~~~	-0.646	~~~	-0.246	-0.308	-0.284	-0.332	~~~	~~~	-0.298	-0.336	~~~	~~~	-0.307	-0.338	~~~	~~~	-0.533	-0.451	-0.160	-0.292	~~~	~~~	~~~	~~~	-0.826	-0.641	-1.002	-0.455	-1.179	-1.136	-1.072
1.022_methanol--furan_2.00	-0.439	-0.430	-0.431	-0.429	-0.429	-0.129	-0.146	-0.143	-0.152	-0.154	-0.157	-0.157	-0.051	-0.079	-0.062	-0.084	-0.060	-0.082	-0.067	-0.085	-0.069	-0.086	-0.070	-0.086	-0.071	-0.086	-0.117	-0.101	-0.027	-0.074	-0.130	-0.111	-0.036	-0.075	-0.338	-0.280	-0.389	-0.250	-0.406	-0.415	-0.405
1.023_methanol--methanol_0.80	2.746	2.500	2.522	2.464	2.453	-2.984	-3.888	-3.826	-4.240	-4.369	-4.496	-4.506	-0.778	-2.206	-1.382	-2.505	-1.345	-2.482	-1.669	-2.571	-1.782	-2.588	-1.878	-2.618	-1.900	-2.606	-2.562	-2.040	0.240	-2.280	-3.558	-2.918	-0.397	-2.520	-0.375	0.526	-1.175	-0.341	-1.490	-1.612	-0.641
1.023_methanol--methanol_0.85	-0.074	-0.225	~~~	-0.260	~~~	-2.602	-3.338	~~~	-3.623	~~~	-3.831	~~~	-0.722	-1.880	-1.209	-2.129	~~~	~~~	-1.441	-2.182	~~~	~~~	-1.610	-2.221	~~~	~~~	-2.302	-1.835	0.120	-1.955	~~~	~~~	~~~	~~~	-2.642	-1.879	-3.350	-2.479	-3.600	-3.647	-2.870
1.023_methanol--methanol_0.90	-1.862	-1.942	~~~	-1.981	~~~	-2.249	-2.850	~~~	-3.080	~~~	-3.249	~~~	-0.653	-1.596	-1.047	-1.803	~~~	~~~	-1.234	-1.846	~~~	~~~	-1.370	-1.878	~~~	~~~	-2.043	-1.630	0.040	-1.670	~~~	~~~	~~~	~~~	-3.959	-3.310	-4.587	-3.691	-4.788	-4.778	-4.130
1.023_methanol--methanol_0.95	-2.942	-2.971	~~~	-3.013	~~~	-1.932	-2.424	~~~	-2.610	~~~	-2.746	~~~	-0.581	-1.351	-0.900	-1.523	~~~	~~~	-1.051	-1.559	~~~	~~~	-1.161	-1.585	~~~	~~~	-1.796	-1.434	-0.011	-1.423	~~~	~~~	~~~	~~~	-4.641	-4.086	-5.198	-4.290	-5.365	-5.313	-4.748
1.023_methanol--methanol_1.00	-3.543	-3.534	-3.524	-3.576	-3.577	-1.653	-2.056	-2.011	-2.207	-2.263	-2.318	-2.322	-0.511	-1.142	-0.770	-1.286	-0.744	-1.267	-0.892	-1.315	-0.940	-1.323	-0.981	-1.337	-0.990	-1.332	-1.567	-1.253	-0.043	-1.211	-1.983	-1.609	-0.295	-1.314	-4.903	-4.428	-5.398	-4.492	-5.545	-5.463	-4.955
1.023_methanol--methanol_1.05	-3.822	-3.788	~~~	-3.826	~~~	-1.411	-1.742	~~~	-1.864	~~~	-1.954	~~~	-0.445	-0.966	-0.657	-1.085	~~~	~~~	-0.755	-1.109	~~~	~~~	-0.827	-1.127	~~~	~~~	-1.360	-1.089	-0.060	-1.029	~~~	~~~	~~~	~~~	-4.896	-4.487	-5.336	-4.445	-5.474	-5.372	-4.913
1.023_methanol--methanol_1.10	-3.889	-3.838	~~~	-3.870	~~~	-1.203	-1.474	~~~	-1.574	~~~	-1.647	~~~	-0.385	-0.818	-0.558	-0.916	~~~	~~~	-0.638	-0.936	~~~	~~~	-0.696	-0.951	~~~	~~~	-1.176	-0.943	-0.068	-0.875	~~~	~~~	~~~	~~~	-4.725	-4.370	-5.114	-4.250	-5.251	-5.136	-4.720
1.023_methanol--methanol_1.25	-3.458	-3.398	~~~	-3.411	~~~	-0.744	-0.893	~~~	-0.947	~~~	-0.987	~~~	-0.244	-0.500	-0.337	-0.556	~~~	~~~	-0.381	-0.567	~~~	~~~	-0.413	-0.575	~~~	~~~	-0.745	-0.601	-0.061	-0.540	~~~	~~~	~~~	~~~	-3.810	-3.575	-4.079	-3.339	-4.231	-4.110	-3.827
1.023_methanol--methanol_1.50	-2.328	-2.302	~~~	-2.300	~~~	-0.330	-0.387	~~~	-0.410	~~~	-0.427	~~~	-0.101	-0.229	-0.136	-0.251	~~~	~~~	-0.155	-0.255	~~~	~~~	-0.168	-0.258	~~~	~~~	-0.327	-0.266	-0.018	-0.248	~~~	~~~	~~~	~~~	-2.354	-2.226	-2.495	-2.006	-2.649	-2.561	-2.463
1.023_methanol--methanol_2.00	-1.026	-1.023	-1.025	-1.020	-1.020	-0.058	-0.070	-0.068	-0.078	-0.081	-0.084	-0.084	-0.003	-0.055	-0.010	-0.060	-0.010	-0.058	-0.017	-0.061	-0.020	-0.061	-0.022	-0.062	-0.022	-0.062	-0.045	-0.037	0.024	-0.060	-0.057	-0.046	0.016	-0.062	-0.960	-0.913	-1.007	-0.847	-1.049	-1.035	-1.031
1.024_methanol--methylacetate_0.80	2.307	1.968	1.974	1.940	1.930	-3.062	-4.043	-3.955	-4.429	-4.569	-4.710	-4.716	-0.679	-2.383	-1.334	-2.710	-1.280	-2.676	-1.646	-2.783	-1.767	-2.802	-1.873	-2.837	-1.893	-2.822	-2.890	-2.276	0.359	-2.635	-3.945	-3.208	-0.320	-2.889	-0.621	0.550	-1.805	-0.454	-1.758	-2.044	-0.834
1.024_methanol--methylacetate_0.85	-0.577	-0.818	~~~	-0.847	~~~	-2.716	-3.526	~~~	-3.842	~~~	-4.073	~~~	-0.647	-2.069	-1.182	-2.343	~~~	~~~	-1.437	-2.405	~~~	~~~	-1.624	-2.449	~~~	~~~	-2.639	-2.082	0.222	-2.304	~~~	~~~	~~~	~~~	-2.923	-1.879	-4.018	-2.601	-3.904	-4.125	-3.064
1.024_methanol--methylacetate_0.90	-2.415	-2.580	~~~	-2.612	~~~	-2.394	-3.063	~~~	-3.323	~~~	-3.512	~~~	-0.601	-1.793	-1.039	-2.024	~~~	~~~	-1.248	-2.075	~~~	~~~	-1.400	-2.112	~~~	~~~	-2.387	-1.886	0.126	-2.012	~~~	~~~	~~~	~~~	-4.274	-3.343	-5.282	-3.833	-5.135	-5.299	-4.339
1.024_methanol--methylacetate_0.95	-3.530	-3.639	~~~	-3.672	~~~	-2.100	-2.654	~~~	-2.868	~~~	-3.024	~~~	-0.547	-1.553	-0.907	-1.747	~~~	~~~	-1.078	-1.790	~~~	~~~	-1.203	-1.821	~~~	~~~	-2.144	-1.696	0.060	-1.756	~~~	~~~	~~~	~~~	-4.985	-4.156	-5.909	-4.454	-5.753	-5.867	-4.977
1.024_methanol--methylacetate_1.00	-4.151	-4.220	-4.216	-4.250	-4.251	-1.838	-2.296	-2.227	-2.472	-2.535	-2.601	-2.601	-0.492	-1.346	-0.787	-1.509	-0.747	-1.481	-0.928	-1.545	-0.981	-1.554	-1.030	-1.571	-1.038	-1.564	-1.914	-1.516	0.017	-1.533	-2.365	-1.904	-0.262	-1.641	-5.270	-4.531	-6.112	-4.675	-5.965	-6.038	-5.204
1.024_methanol--methylacetate_1.05	-4.440	-4.478	~~~	-4.504	~~~	-1.604	-1.984	~~~	-2.130	~~~	-2.236	~~~	-0.437	-1.167	-0.680	-1.304	~~~	~~~	-0.796	-1.334	~~~	~~~	-0.880	-1.356	~~~	~~~	-1.701	-1.348	-0.009	-1.339	~~~	~~~	~~~	~~~	-5.277	-4.618	-6.042	-4.641	-5.919	-5.958	-5.181
1.024_methanol--methylacetate_1.10	-4.508	-4.524	~~~	-4.544	~~~	-1.397	-1.713	~~~	-1.834	~~~	-1.922	~~~	-0.384	-1.013	-0.585	-1.128	~~~	~~~	-0.680	-1.153	~~~	~~~	-0.750	-1.172	~~~	~~~	-1.505	-1.193	-0.024	-1.170	~~~	~~~	~~~	~~~	-5.111	-4.522	-5.804	-4.453	-5.713	-5.724	-5.008
1.024_methanol--methylacetate_1.25	-4.040	-4.028	~~~	-4.033	~~~	-0.916	-1.096	~~~	-1.167	~~~	-1.219	~~~	-0.249	-0.667	-0.361	-0.735	~~~	~~~	-0.417	-0.750	~~~	~~~	-0.457	-0.761	~~~	~~~	-1.021	-0.810	-0.026	-0.784	~~~	~~~	~~~	~~~	-4.183	-3.760	-4.684	-3.545	-4.710	-4.673	-4.178
1.024_methanol--methylacetate_1.50	-2.789	-2.780	~~~	-2.776	~~~	-0.436	-0.510	~~~	-0.542	~~~	-0.565	~~~	-0.098	-0.338	-0.142	-0.368	~~~	~~~	-0.167	-0.374	~~~	~~~	-0.186	-0.379	~~~	~~~	-0.505	-0.398	0.013	-0.411	~~~	~~~	~~~	~~~	-2.643	-2.397	-2.920	-2.159	-3.050	-2.996	-2.796
1.024_methanol--methylacetate_2.00	-1.245	-1.243	-1.247	-1.240	-1.240	-0.080	-0.093	-0.085	-0.102	-0.106	-0.110	-0.109	0.012	-0.092	0.005	-0.098	0.008	-0.094	-0.003	-0.099	-0.006	-0.100	-0.009	-0.100	-0.009	-0.100	-0.102	-0.076	0.048	-0.124	-0.107	-0.080	0.042	-0.122	-1.085	-0.997	-1.171	-0.911	-1.238	-1.225	-1.210
1.025_methanol--nitromethane_0.80	3.113	2.892	2.902	2.832	2.823	-3.073	-4.172	-4.094	-4.570	-4.718	-4.862	-4.873	-0.645	-2.428	-1.384	-2.787	-1.336	-2.758	-1.703	-2.867	-1.829	-2.889	-1.936	-2.926	-1.961	-2.912	-2.976	-2.408	0.283	-2.691	-4.151	-3.454	-0.485	-2.970	-0.108	0.936	-1.217	-0.177	-1.362	-1.512	-0.467
1.025_methanol--nitromethane_0.85	0.158	0.023	~~~	-0.034	~~~	-2.613	-3.515	~~~	-3.840	~~~	-4.077	~~~	-0.559	-2.054	-1.162	-2.353	~~~	~~~	-1.421	-2.419	~~~	~~~	-1.610	-2.467	~~~	~~~	-2.604	-2.109	0.195	-2.304	~~~	~~~	~~~	~~~	-2.359	-1.417	-3.405	-2.203	-3.394	-3.516	-2.544
1.025_methanol--nitromethane_0.90	-1.739	-1.814	~~~	-1.868	~~~	-2.210	-2.951	~~~	-3.215	~~~	-3.408	~~~	-0.476	-1.734	-0.968	-1.983	~~~	~~~	-1.178	-2.037	~~~	~~~	-1.331	-2.077	~~~	~~~	-2.264	-1.835	0.135	-1.970	~~~	~~~	~~~	~~~	-3.681	-2.835	-4.658	-3.353	-4.550	-4.643	-3.718
1.025_methanol--nitromethane_0.95	-2.905	-2.937	~~~	-2.986	~~~	-1.862	-2.470	~~~	-2.685	~~~	-2.842	~~~	-0.398	-1.463	-0.801	-1.670	~~~	~~~	-0.971	-1.714	~~~	~~~	-1.095	-1.747	~~~	~~~	-1.956	-1.588	0.094	-1.683	~~~	~~~	~~~	~~~	-4.376	-3.618	-5.279	-3.919	-5.120	-5.185	-4.300
1.025_methanol--nitromethane_1.00	-3.567	-3.571	-3.572	-3.613	-3.615	-1.563	-2.064	-1.999	-2.238	-2.301	-2.365	-2.368	-0.329	-1.234	-0.658	-1.406	-0.619	-1.380	-0.796	-1.442	-0.849	-1.452	-0.896	-1.469	-0.906	-1.462	-1.683	-1.368	0.068	-1.437	-2.180	-1.804	-0.251	-1.553	-4.654	-3.975	-5.482	-4.108	-5.308	-5.348	-4.509
1.025_methanol--nitromethane_1.05	-3.886	-3.874	~~~	-3.906	~~~	-1.309	-1.720	~~~	-1.862	~~~	-1.966	~~~	-0.268	-1.042	-0.536	-1.184	~~~	~~~	-0.648	-1.214	~~~	~~~	-0.730	-1.236	~~~	~~~	-1.442	-1.174	0.053	-1.227	~~~	~~~	~~~	~~~	-4.664	-4.057	-5.418	-4.059	-5.251	-5.270	-4.488
1.025_methanol--nitromethane_1.10	-3.976	-3.955	~~~	-3.979	~~~	-1.094	-1.431	~~~	-1.547	~~~	-1.632	~~~	-0.214	-0.880	-0.434	-0.997	~~~	~~~	-0.525	-1.022	~~~	~~~	-0.592	-1.040	~~~	~~~	-1.230	-1.003	0.045	-1.048	~~~	~~~	~~~	~~~	-4.507	-3.965	-5.189	-3.869	-5.046	-5.047	-4.334
1.025_methanol--nitromethane_1.25	-3.558	-3.540	~~~	-3.546	~~~	-0.624	-0.810	~~~	-0.874	~~~	-0.921	~~~	-0.092	-0.532	-0.212	-0.598	~~~	~~~	-0.263	-0.611	~~~	~~~	-0.300	-0.621	~~~	~~~	-0.745	-0.611	0.046	-0.656	~~~	~~~	~~~	~~~	-3.627	-3.242	-4.116	-2.992	-4.070	-4.038	-3.557
1.025_methanol--nitromethane_1.50	-2.402	-2.397	~~~	-2.391	~~~	-0.212	-0.286	~~~	-0.313	~~~	-0.333	~~~	0.017	-0.230	-0.030	-0.256	~~~	~~~	-0.052	-0.261	~~~	~~~	-0.068	-0.265	~~~	~~~	-0.285	-0.235	0.069	-0.304	~~~	~~~	~~~	~~~	-2.203	-1.982	-2.467	-1.734	-2.530	-2.495	-2.332
1.025_methanol--nitromethane_2.00	-1.023	-1.027	-1.029	-1.024	-1.024	0.022	0.008	0.014	-0.001	-0.004	-0.008	-0.007	0.062	-0.040	0.052	-0.044	0.055	-0.041	0.045	-0.046	0.042	-0.046	0.039	-0.047	0.040	-0.046	-0.001	-0.001	0.069	-0.070	-0.010	-0.011	0.059	-0.070	-0.862	-0.785	-0.947	-0.706	-0.952	-0.958	-0.944
1.026_methanol--nitrosomethane_0.80	3.687	3.497	3.508	3.448	3.439	-2.745	-3.712	-3.636	-4.075	-4.208	-4.340	-4.347	-0.594	-2.151	-1.243	-2.468	-1.196	-2.440	-1.536	-2.539	-1.650	-2.558	-1.750	-2.590	-1.770	-2.577	-2.774	-2.120	0.343	-2.463	-3.808	-3.043	-0.333	-2.711	0.361	1.046	-0.402	0.047	-1.057	-0.848	-0.146
1.026_methanol--nitrosomethane_0.85	1.097	0.983	~~~	0.934	~~~	-2.334	-3.125	~~~	-3.420	~~~	-3.635	~~~	-0.526	-1.808	-1.053	-2.072	~~~	~~~	-1.289	-2.130	~~~	~~~	-1.462	-2.172	~~~	~~~	-2.430	-1.861	0.233	-2.094	~~~	~~~	~~~	~~~	-1.541	-0.902	-2.271	-1.608	-2.716	-2.540	-1.864
1.026_methanol--nitrosomethane_0.90	-0.570	-0.632	~~~	-0.680	~~~	-1.978	-2.626	~~~	-2.864	~~~	-3.039	~~~	-0.458	-1.520	-0.886	-1.740	~~~	~~~	-1.077	-1.787	~~~	~~~	-1.217	-1.822	~~~	~~~	-2.118	-1.626	0.155	-1.781	~~~	~~~	~~~	~~~	-2.653	-2.070	-3.336	-2.538	-3.648	-3.485	-2.822
1.026_methanol--nitrosomethane_0.95	-1.605	-1.632	~~~	-1.675	~~~	-1.673	-2.204	~~~	-2.397	~~~	-2.538	~~~	-0.394	-1.279	-0.742	-1.462	~~~	~~~	-0.897	-1.500	~~~	~~~	-1.010	-1.529	~~~	~~~	-1.841	-1.414	0.102	-1.516	~~~	~~~	~~~	~~~	-3.236	-2.712	-3.867	-2.992	-4.102	-3.943	-3.301
1.026_methanol--nitrosomethane_1.00	-2.211	-2.213	-2.212	-2.250	-2.252	-1.415	-1.849	-1.786	-2.006	-2.062	-2.120	-2.121	-0.336	-1.078	-0.620	-1.230	-0.582	-1.204	-0.744	-1.261	-0.792	-1.270	-0.835	-1.284	-0.843	-1.278	-1.595	-1.227	0.066	-1.293	-2.018	-1.598	-0.203	-1.396	-3.473	-3.005	-4.047	-3.140	-4.249	-4.088	-3.480
1.026_methanol--nitrosomethane_1.05	-2.526	-2.514	~~~	-2.542	~~~	-1.196	-1.551	~~~	-1.678	~~~	-1.770	~~~	-0.284	-0.912	-0.514	-1.036	~~~	~~~	-0.615	-1.062	~~~	~~~	-0.689	-1.081	~~~	~~~	-1.380	-1.062	0.043	-1.105	~~~	~~~	~~~	~~~	-3.491	-3.076	-4.007	-3.100	-4.199	-4.034	-3.470
1.026_methanol--nitrosomethane_1.10	-2.648	-2.628	~~~	-2.648	~~~	-1.011	-1.300	~~~	-1.403	~~~	-1.478	~~~	-0.239	-0.773	-0.425	-0.875	~~~	~~~	-0.507	-0.896	~~~	~~~	-0.567	-0.911	~~~	~~~	-1.192	-0.917	0.029	-0.946	~~~	~~~	~~~	~~~	-3.375	-3.010	-3.835	-2.949	-4.030	-3.862	-3.349
1.026_methanol--nitrosomethane_1.25	-2.434	-2.412	~~~	-2.417	~~~	-0.604	-0.760	~~~	-0.816	~~~	-0.857	~~~	-0.129	-0.475	-0.228	-0.532	~~~	~~~	-0.273	-0.543	~~~	~~~	-0.306	-0.551	~~~	~~~	-0.754	-0.578	0.022	-0.600	~~~	~~~	~~~	~~~	-2.701	-2.456	-3.013	-2.264	-3.246	-3.079	-2.753
1.026_methanol--nitrosomethane_1.50	-1.656	-1.644	~~~	-1.639	~~~	-0.234	-0.294	~~~	-0.319	~~~	-0.336	~~~	-0.019	-0.214	-0.057	-0.237	~~~	~~~	-0.077	-0.242	~~~	~~~	-0.091	-0.245	~~~	~~~	-0.323	-0.242	0.047	-0.289	~~~	~~~	~~~	~~~	-1.617	-1.488	-1.769	-1.290	-2.012	-1.884	-1.796
1.026_methanol--nitrosomethane_2.00	-0.710	-0.709	-0.711	-0.708	-0.707	-0.003	-0.015	-0.010	-0.024	-0.026	-0.030	-0.029	0.041	-0.044	0.033	-0.048	0.036	-0.046	0.026	-0.050	0.024	-0.050	0.021	-0.051	0.022	-0.051	-0.032	-0.016	0.059	-0.075	-0.037	-0.021	0.053	-0.075	-0.620	-0.575	-0.666	-0.508	-0.743	-0.708	-0.715
1.027_methanol--Nmethylacetamide_0.80	1.488	1.116	1.118	1.082	1.071	-3.259	-4.337	-4.249	-4.765	-4.922	-5.078	-5.087	-0.680	-2.579	-1.399	-2.937	-1.345	-2.904	-1.748	-3.018	-1.884	-3.038	-2.002	-3.076	-2.026	-3.061	-3.016	-2.379	0.455	-2.834	-4.193	-3.419	-0.300	-3.120	-1.734	-0.439	-2.982	-1.614	-2.950	-3.323	-1.906
1.027_methanol--Nmethylacetamide_0.85	-1.602	-1.874	-1.870	-1.906	-1.913	-2.946	-3.843	-3.760	-4.198	-4.328	-4.457	-4.464	-0.678	-2.268	-1.270	-2.573	-1.220	-2.540	-1.558	-2.640	-1.670	-2.658	-1.768	-2.689	-1.787	-2.676	-2.807	-2.218	0.287	-2.505	-3.770	-3.063	-0.322	-2.741	-4.253	-3.100	-5.401	-3.984	-5.313	-5.602	-4.389
1.027_methanol--Nmethylacetamide_0.90	-3.575	-3.768	-3.764	-3.800	-3.805	-2.641	-3.390	-3.311	-3.684	-3.791	-3.899	-3.904	-0.652	-1.989	-1.141	-2.249	-1.094	-2.218	-1.379	-2.305	-1.471	-2.320	-1.552	-2.346	-1.568	-2.336	-2.584	-2.044	0.166	-2.210	-3.371	-2.730	-0.326	-2.404	-5.735	-4.708	-6.790	-5.346	-6.671	-6.888	-5.812
1.027_methanol--Nmethylacetamide_0.95	-4.770	-4.903	-4.899	-4.937	-4.940	-2.354	-2.980	-2.905	-3.224	-3.313	-3.402	-3.406	-0.612	-1.742	-1.016	-1.963	-0.972	-1.933	-1.213	-2.011	-1.289	-2.023	-1.357	-2.046	-1.369	-2.037	-2.357	-1.867	0.081	-1.948	-3.001	-2.424	-0.317	-2.107	-6.512	-5.597	-7.480	-6.029	-7.350	-7.505	-6.525
1.027_methanol--Nmethylacetamide_1.00	-5.430	-5.518	-5.515	-5.552	-5.553	-2.089	-2.613	-2.542	-2.816	-2.890	-2.965	-2.967	-0.564	-1.526	-0.900	-1.713	-0.858	-1.685	-1.063	-1.754	-1.126	-1.764	-1.182	-1.783	-1.192	-1.775	-2.136	-1.693	0.023	-1.716	-2.661	-2.145	-0.299	-1.846	-6.817	-6.000	-7.704	-6.263	-7.577	-7.682	-6.770
1.027_methanol--Nmethylacetamide_1.05	-5.727	-5.781	-5.780	-5.812	-5.813	-1.848	-2.287	-2.220	-2.457	-2.518	-2.581	-2.582	-0.512	-1.336	-0.792	-1.496	-0.752	-1.468	-0.927	-1.530	-0.980	-1.539	-1.026	-1.555	-1.034	-1.548	-1.923	-1.527	-0.015	-1.511	-2.353	-1.893	-0.276	-1.618	-6.812	-6.081	-7.622	-6.207	-7.512	-7.576	-6.725
1.027_methanol--Nmethylacetamide_1.10	-5.782	-5.811	-5.811	-5.836	-5.837	-1.632	-1.999	-1.937	-2.142	-2.192	-2.246	-2.246	-0.461	-1.170	-0.693	-1.306	-0.656	-1.280	-0.806	-1.335	-0.850	-1.343	-0.889	-1.356	-0.895	-1.351	-1.724	-1.370	-0.038	-1.331	-2.074	-1.666	-0.249	-1.418	-6.609	-5.953	-7.348	-5.972	-7.265	-7.295	-6.505
1.027_methanol--Nmethylacetamide_1.25	-5.206	-5.196	-5.200	-5.205	-5.206	-1.109	-1.327	-1.275	-1.412	-1.441	-1.475	-1.472	-0.319	-0.791	-0.452	-0.874	-0.423	-0.852	-0.520	-0.892	-0.545	-0.896	-0.570	-0.905	-0.571	-0.901	-1.213	-0.966	-0.053	-0.914	-1.401	-1.121	-0.162	-0.959	-5.488	-5.008	-6.041	-4.837	-6.057	-6.030	-5.442
1.027_methanol--Nmethylacetamide_1.50	-3.696	-3.685	-3.693	-3.681	-3.683	-0.559	-0.652	-0.618	-0.692	-0.705	-0.721	-0.718	-0.143	-0.416	-0.198	-0.454	-0.179	-0.439	-0.230	-0.462	-0.241	-0.464	-0.253	-0.468	-0.252	-0.466	-0.633	-0.504	-0.010	-0.494	-0.696	-0.554	-0.047	-0.508	-3.593	-3.302	-3.920	-3.058	-4.039	-3.986	-3.697
1.027_methanol--Nmethylacetamide_2.00	-1.761	-1.756	-1.761	-1.753	-1.753	-0.111	-0.128	-0.118	-0.141	-0.145	-0.151	-0.149	0.006	-0.117	-0.003	-0.125	0.001	-0.120	-0.014	-0.127	-0.018	-0.128	-0.022	-0.129	-0.021	-0.128	-0.136	-0.104	0.048	-0.153	-0.143	-0.110	0.042	-0.152	-1.566	-1.447	-1.682	-1.332	-1.753	-1.743	-1.702
1.028_methanol--phenol_0.80	4.686	4.516	4.529	4.474	4.467	-4.901	-5.934	-5.855	-6.304	-6.437	-6.575	-6.576	-1.836	-3.064	-2.518	-3.416	-2.469	-3.386	-2.812	-3.492	-2.925	-3.512	-3.027	-3.548	-3.043	-3.533	-4.390	-3.635	-0.664	-2.971	-5.462	-4.555	-1.320	-3.235	1.631	2.917	0.392	1.822	0.389	0.054	1.459
1.028_methanol--phenol_0.85	1.884	1.780	~~~	1.738	~~~	-4.282	-5.129	~~~	-5.429	~~~	-5.648	~~~	-1.645	-2.637	-2.200	-2.930	~~~	~~~	-2.436	-2.993	~~~	~~~	-2.609	-3.039	~~~	~~~	-3.908	-3.237	-0.669	-2.568	~~~	~~~	~~~	~~~	-0.560	0.572	-1.688	-0.198	-1.630	-1.880	-0.612
1.028_methanol--phenol_0.90	0.057	0.001	~~~	-0.042	~~~	-3.734	-4.429	~~~	-4.672	~~~	-4.849	~~~	-1.465	-2.269	-1.917	-2.512	~~~	~~~	-2.108	-2.564	~~~	~~~	-2.247	-2.602	~~~	~~~	-3.463	-2.870	-0.653	-2.217	~~~	~~~	~~~	~~~	-1.882	-0.887	-2.903	-1.389	-2.820	-2.996	-1.832
1.028_methanol--phenol_0.95	-1.100	-1.122	~~~	-1.162	~~~	-3.253	-3.824	~~~	-4.020	~~~	-4.164	~~~	-1.300	-1.953	-1.668	-2.156	~~~	~~~	-1.822	-2.198	~~~	~~~	-1.934	-2.230	~~~	~~~	-3.059	-2.537	-0.622	-1.914	~~~	~~~	~~~	~~~	-2.622	-1.747	-3.540	-2.036	-3.461	-3.576	-2.503
1.028_methanol--phenol_1.00	-1.798	-1.797	-1.794	-1.830	-1.832	-2.833	-3.302	-3.242	-3.462	-3.518	-3.578	-3.577	-1.149	-1.684	-1.450	-1.852	-1.414	-1.828	-1.574	-1.887	-1.622	-1.896	-1.665	-1.913	-1.672	-1.906	-2.695	-2.237	-0.584	-1.653	-3.144	-2.608	-0.844	-1.764	-2.974	-2.204	-3.796	-2.328	-3.744	-3.809	-2.835
